sujeto	accuracy	F1_X_clase	f1_macro
sub-174	0.7465208747514911	[0.72527473 0.31884058 0.74382315 0.82375479 0.80798005]	0.6839346582152592
sub-193	0.8286311389759665	[0.75925926 0.32258065 0.85034014 0.86997636 0.87254902]	0.7349410838841751
sub-200	0.7829293993677555	[0.82080925 0.38356164 0.80536913 0.74844075 0.85198556]	0.7220332655829689
sub-211	0.693158953722334	[0.94258373 0.31111111 0.54695222 0.57309942 0.91666667]	0.6580826298185181
sub-217	0.7699214365881033	[0.88554217 0.30555556 0.79043601 0.79083095 0.79674797]	0.7138225285789095
sub-222	0.7603036876355749	[0.85333333 0.21052632 0.73980309 0.88761905 0.75      ]	0.6882563581950657
sub-225	0.6808035714285714	[0.45283019 0.41726619 0.65109034 0.70342205 0.81018519]	0.6069587913651714
sub-226	0.8386783284742468	[0.74257426 0.34920635 0.90778872 0.80769231 0.88372093]	0.7381965128684194
sub-237	0.7705627705627706	[0.89447236 0.30075188 0.77729258 0.70029674 0.88054608]	0.7106719257835751
sub-245	0.8552774755168662	[0.79032258 0.50980392 0.85138539 0.86521739 0.91442543]	0.7862309423638417
sub-246	0.823045267489712	[0.76579926 0.33576642 0.83889695 0.95132743 0.85642317]	0.7496426478799171
sub-257	0.6322314049586777	[0.71634615 0.18446602 0.59022556 0.64421053 0.87296417]	0.6016424865740602
sub-260	0.7965235173824131	[0.75789474 0.26666667 0.80283353 0.80623608 0.86530612]	0.6997874272484366
sub-264	0.704868154158215	[0.40816327 0.18604651 0.66369048 0.68158348 0.87671233]	0.5632392117311656
sub-271	0.7452229299363057	[0.38571429 0.11764706 0.81585678 0.7028754  0.90188679]	0.5847960627690547
sub-291	0.8498498498498499	[0.82022472 0.30909091 0.88020177 0.94708995 0.85714286]	0.7627500395745008
sub-298	0.8225641025641026	[0.7518797  0.33333333 0.85714286 0.87733888 0.86666667]	0.737272286745971
sub-300	0.7447916666666666	[0.38709677 0.28985507 0.75401731 0.76712329 0.81180812]	0.6019801115449869
sub-306	0.7158859470468432	[0.82568807 0.41481481 0.74660633 0.64673913 0.75766017]	0.6783017041233281
sub-307	0.7894736842105263	[0.65822785 0.10666667 0.82568807 0.92307692 0.70935961]	0.6446038234301362
sub-317	0.6759581881533101	[0.76760563 0.15517241 0.6474359  0.78125    0.73303167]	0.6168991238479925
sub-329	0.8600201409869084	[0.87203791 0.39175258 0.87936866 0.88322718 0.90625   ]	0.786527265326287
