W	N1	N2	N3	R	anotaciones
99.99204	0.002222108	0.0020505928	0.0018239636	0.0018675032	0
99.99391	0.0017026983	0.0015657075	0.0014190993	0.0014047852	0
99.99416	0.0016348773	0.0015096415	0.00136149	0.0013362343	0
99.99402	0.0016820054	0.001553828	0.0013905182	0.0013615992	0
99.993866	0.0017287144	0.0015942713	0.0014214268	0.0013865321	0
99.99372	0.0017768128	0.0016321356	0.0014514737	0.0014124495	0
99.99293	0.0020074379	0.001852622	0.0016352537	0.0015739128	0
99.99317	0.001943016	0.0017883476	0.0015800062	0.0015228591	0
99.99296	0.0020093573	0.0018434819	0.0016261532	0.0015699049	0
99.99266	0.0021010682	0.0019200793	0.0016931338	0.0016353843	0
99.99203	0.0022889413	0.0020811209	0.0018309089	0.0017757983	0
99.99093	0.0026162576	0.0023636133	0.0020817912	0.002004711	0
99.98986	0.0029410145	0.002638621	0.0023441445	0.0022196954	0
99.989006	0.0031972833	0.0028531856	0.0025558465	0.0023935132	0
99.98697	0.0038315735	0.0033730995	0.003022155	0.0028035925	0
99.98781	0.0035413865	0.0031668053	0.002852686	0.0026292577	0
99.98677	0.0038610804	0.0034325852	0.003077454	0.0028583636	0
99.98394	0.004748745	0.004154855	0.0037131105	0.0034556496	0
99.980316	0.005891381	0.0050676586	0.004526849	0.0042143753	0
99.98061	0.005760468	0.0049838037	0.0044763912	0.0041586575	0
99.9784	0.0064657084	0.005537859	0.004965876	0.004635499	0
99.970406	0.0091027785	0.0074927993	0.006691342	0.0063030086	0
99.85491	0.05120575	0.0352515	0.029397566	0.029235598	0
99.97347	0.008001002	0.0068080705	0.00604557	0.0056741536	0
99.97448	0.0077669136	0.006579428	0.00563413	0.0055367434	0
99.94985	0.015946481	0.012790786	0.011026875	0.010383519	0
99.73491	0.09858296	0.06409004	0.05188266	0.050537348	0
2.6707976	94.50951	1.3150326	0.7247096	0.7799609	1
0.6154238	98.24322	0.5901947	0.2556496	0.29551548	1
0.8388806	96.756485	1.4176708	0.47883368	0.5081275	1
0.14160478	0.26723155	99.249985	0.2184583	0.12271976	2
0.048536167	0.07265015	99.753365	0.07978956	0.045660444	2
0.032593194	0.04953881	99.83605	0.048993994	0.03281697	2
0.03211343	0.045561872	99.83875	0.05116977	0.032406878	2
0.030275466	0.041308414	99.84795	0.049917877	0.03054133	2
0.040648744	0.05306911	99.79296	0.072113685	0.04120458	2
0.026089177	0.03879505	99.86592	0.04221089	0.0269852	2
0.028893739	0.0408719	99.85064	0.049257018	0.030346386	2
0.038690206	0.052408606	99.798004	0.071184725	0.03970676	2
0.05886557	0.07583745	99.68894	0.117652476	0.058702763	2
0.12734658	0.14111213	99.31781	0.2967368	0.116996884	2
0.12456143	0.13971494	99.33052	0.2905926	0.11461599	2
0.2686775	0.3133675	98.423096	0.7438479	0.25100598	2
0.3849702	0.4191993	97.66274	1.183012	0.3500744	2
1.6800815	1.8296305	85.62356	9.311838	1.5548939	2
2.6555831	2.747865	69.224075	22.919447	2.453032	2
2.1327577	2.1660416	13.917375	79.85888	1.9249492	3
1.478409	1.504007	7.558844	88.118835	1.3399035	3
0.67573833	0.60913247	2.4215746	95.6833	0.61026067	3
0.32790947	0.29697168	0.9435544	98.12991	0.3016528	3
0.13397391	0.11846129	0.30737293	99.31743	0.12275871	3
0.07240757	0.063886136	0.14828835	99.648476	0.06694665	3
0.03669639	0.03201305	0.06642941	99.83104	0.03382269	3
0.02842069	0.024718113	0.04935426	99.87144	0.02606758	3
0.023492606	0.020391423	0.03961892	99.89506	0.021443473	3
0.020938905	0.018332928	0.03480929	99.9068	0.0191169	3
0.017065	0.015056346	0.027549258	99.924934	0.015396441	3
0.013289975	0.011591403	0.020503815	99.94281	0.011805909	3
0.01162071	0.01046805	0.017339949	99.95029	0.010284719	3
