sujeto	accuracy	F1_X_clase	f1_macro
sub-174	0.7733598409542743	[0.72164948 0.30344828 0.79062958 0.89333333 0.75897436]	0.6936070056216959
sub-193	0.8808777429467085	[0.71186441 0.31914894 0.90428212 0.95032397 0.93033708]	0.7631913023105301
sub-200	0.7955742887249737	[0.70222222 0.18518519 0.80701754 0.82129278 0.90169492]	0.6834825284373386
sub-211	0.6851106639839034	[0.93269231 0.38888889 0.52739726 0.58413926 0.88705234]	0.6640340126886588
sub-217	0.8035914702581369	[0.87134503 0.25899281 0.83609023 0.85164835 0.85294118]	0.7342035177356023
sub-222	0.6431670281995662	[0.69109948 0.06       0.66084788 0.77060134 0.56953642]	0.5504170233765995
sub-225	0.7008928571428571	[0.44067797 0.38961039 0.68350168 0.77304965 0.77909739]	0.6131874143554471
sub-226	0.8066083576287658	[0.71153846 0.18691589 0.88521579 0.81595092 0.79878049]	0.6796803103491819
sub-237	0.7803030303030303	[0.9035533  0.32061069 0.78518519 0.74220963 0.85423729]	0.721159218312822
sub-245	0.8422198041349293	[0.78125    0.51724138 0.83769634 0.86128364 0.89382716]	0.7782597037550092
sub-246	0.7541152263374485	[0.73913043 0.15789474 0.78199719 0.93886463 0.66076696]	0.6557307898316141
sub-257	0.6084710743801653	[0.7260274  0.21698113 0.58287796 0.62526767 0.74814815]	0.579860460672785
sub-260	0.8159509202453987	[0.64347826 0.1875     0.81897628 0.88429752 0.86585366]	0.6800211439435488
sub-264	0.7322515212981744	[0.2962963  0.20689655 0.728223   0.82822086 0.79781421]	0.5714901822164185
sub-271	0.7112526539278131	[0.32941176 0.03418803 0.76719577 0.83707865 0.82886598]	0.5593480394313041
sub-291	0.8058058058058059	[0.78074866 0.31914894 0.80862534 0.84988453 0.8597786 ]	0.723637212108782
sub-298	0.7425641025641025	[0.57954545 0.29752066 0.79326923 0.83991684 0.72352941]	0.6467563196306512
sub-300	0.621875	[0.21621622 0.15384615 0.63311258 0.62707838 0.78764479]	0.48357962505734287
sub-306	0.6558044806517311	[0.62116041 0.25       0.7617896  0.48780488 0.74210526]	0.5725720303460682
sub-307	0.6736842105263158	[0.43902439 0.08571429 0.72938444 0.87676768 0.45014245]	0.516206647913965
sub-317	0.6376306620209059	[0.73089701 0.11538462 0.61656442 0.78927203 0.63861386]	0.5781463869133574
sub-329	0.8700906344410876	[0.82407407 0.39175258 0.89795918 0.91585127 0.89969605]	0.7858666311430011
