sujeto	accuracy	F1_X_clase	f1_macro
sub-001	0.922440537745605	[0.91267606 0.66666667 0.93243243 0.95808383 0.96808511]	0.8875888188310871
sub-002	0.7840670859538784	[0.93506494 0.72222222 0.78801843 0.         0.92665474]	0.674392066215022
sub-003	0.868020304568528	[0.97271268 0.30136986 0.78821363 0.85432099 0.94478528]	0.7722804870624245
sub-004	0.8497576736672051	[0.92720307 0.45070423 0.87666034 0.85585586 0.80254777]	0.7825942517197364
sub-005	0.919661733615222	[0.92485549 0.72180451 0.92897407 0.89969605 0.98378378]	0.8918227809844425
sub-006	0.9291497975708503	[0.93617021 0.85057471 0.9435337  0.8907563  0.94197952]	0.9126028895494006
sub-007	0.8386773547094188	[0.90265487 0.38461538 0.81298701 0.8308977  0.90721649]	0.7676742926506912
sub-008	0.7283057851239669	[0.85234899 0.5560166  0.76180483 0.10457516 0.96219931]	0.6473889787549945
sub-009	0.8169014084507042	[0.85057471 0.45783133 0.84693878 0.78321678 0.9220339 ]	0.7721190989953911
sub-010	0.867231638418079	[0.90265487 0.75675676 0.90438871 0.61883408 0.90773067]	0.8180730185562266
sub-011	0.9287128712871288	[0.98466258 0.65217391 0.90620032 0.92105263 0.95131086]	0.8830800601395573
sub-012	0.8708133971291866	[0.75789474 0.7699115  0.89168279 0.85079365 0.91428571]	0.8369136783292112
sub-013	0.8681780016792612	[0.59340659 0.09090909 0.89819495 0.91108071 0.76335878]	0.6513900240288646
sub-014	0.8958109559613319	[0.88333333 0.55102041 0.9348659  0.88235294 0.88888889]	0.82809229438902
sub-015	0.9375	[0.92173913 0.78688525 0.94865526 0.95681063 0.948     ]	0.9124180528578749
sub-016	0.9236401673640168	[0.89473684 0.57534247 0.95275591 0.89830508 0.94206549]	0.8526411578600281
sub-017	0.8736097067745198	[0.79518072 0.57407407 0.87392901 0.92982456 0.9187935 ]	0.818360374083472
sub-018	0.8699106256206555	[0.91320755 0.60759494 0.88531618 0.60655738 0.95895522]	0.7943262538320007
sub-019	0.9009812667261374	[0.90076336 0.3880597  0.91017964 0.91588785 0.93491124]	0.8099603588121133
sub-020	0.8737166324435318	[0.96146045 0.57342657 0.86989796 0.86378738 0.89867841]	0.833450153673982
sub-021	0.8761149653121902	[0.81081081 0.50887574 0.94300518 0.72289157 0.90756303]	0.7786292646556151
sub-022	0.8865866957470011	[0.90084986 0.51612903 0.93236212 0.88259109 0.81111111]	0.8086086435264574
sub-023	0.8290972830850132	[0.6504065  0.38509317 0.87707062 0.88359788 0.86680761]	0.7325951570729096
sub-024	0.836901121304791	[0.84892086 0.52830189 0.8641189  0.85245902 0.83618582]	0.7859972963064366
sub-025	0.8561001042752867	[0.76595745 0.36363636 0.87276786 0.86993603 0.90585242]	0.7556300238011338
