W	N1	N2	N3	R	anotaciones
99.98664	0.0037518123	0.0032986423	0.0028110978	0.003492759	0
99.99312	0.0019451447	0.0017164472	0.0015212661	0.0016984562	0
99.99347	0.0017587979	0.0017274126	0.0015713067	0.0014747691	0
99.99398	0.0016881353	0.0015584638	0.0013450704	0.0014315207	0
99.99416	0.0016400669	0.0015116021	0.0013095504	0.001363566	0
99.99401	0.0017008292	0.0015538657	0.0013403388	0.0013863974	0
99.994125	0.0016673037	0.0015271776	0.001325477	0.0013481961	0
99.994255	0.0016355661	0.0014908384	0.0012983183	0.0013239187	0
99.99424	0.0015904972	0.0015073216	0.0013732299	0.0012884062	0
99.994125	0.0016218427	0.0015444533	0.0014116641	0.0013025355	0
99.99451	0.0015660583	0.0014166433	0.0012607685	0.0012396845	0
99.99463	0.0015253436	0.0013877902	0.0012464906	0.0012058459	0
99.99462	0.0015354742	0.001392295	0.001252158	0.0012116663	0
99.99427	0.0015815685	0.0014932562	0.0013838711	0.0012760503	0
99.994644	0.0015228188	0.0013885623	0.0012532197	0.0011934636	0
99.99459	0.0015368355	0.0013975258	0.0012632697	0.0012024674	0
99.99444	0.0015934419	0.0014350383	0.0012994448	0.0012371402	0
99.99429	0.0015715023	0.0014743892	0.001385205	0.0012694106	0
99.9943	0.0015715343	0.001471834	0.0013835446	0.0012648003	0
99.99449	0.0015746417	0.0014293906	0.0012883022	0.0012164149	0
99.9945	0.0015719006	0.001430177	0.0012890938	0.0012139174	0
99.99446	0.0015818934	0.0014391878	0.0012972755	0.0012209329	0
99.99435	0.0016198416	0.0014690332	0.001319313	0.0012462928	0
99.99426	0.0016466368	0.0014914129	0.0013390325	0.0012608758	0
99.99409	0.0017004444	0.001533955	0.0013770821	0.0012978856	0
99.99392	0.0017609405	0.0015787435	0.0013881889	0.0013497035	0
99.99392	0.0017623408	0.0015797237	0.0013877291	0.0013527324	0
99.99417	0.0016779548	0.0015156581	0.0013389946	0.0012975704	0
99.99435	0.0016165228	0.0014632357	0.001327914	0.001244714	0
99.99429	0.0016320535	0.0014739812	0.001338317	0.0012532573	0
99.99397	0.0016758972	0.0015617936	0.0014769721	0.0013182752	0
99.99387	0.0016980601	0.0015901518	0.0015101493	0.0013286086	0
99.99441	0.0015981984	0.0014514659	0.0013130656	0.0012285078	0
99.99454	0.0015560121	0.0014170497	0.0012870947	0.0012022819	0
99.99454	0.0015538266	0.0014162242	0.0012893837	0.001199912	0
99.99451	0.0015660415	0.0014253799	0.0012966942	0.0012077491	0
99.99446	0.0015769833	0.0014373462	0.0013076195	0.0012114801	0
99.99436	0.0016106769	0.0014659469	0.0013313273	0.001233063	0
99.99415	0.0016811801	0.0015211874	0.0013612404	0.0012960994	0
99.99388	0.0017081229	0.001587948	0.0014846189	0.001330338	0
99.99437	0.001608689	0.0014652812	0.0013214343	0.0012296973	0
99.99448	0.0015758747	0.0014421496	0.0013029354	0.0012060556	0
99.994255	0.0016520853	0.0014958738	0.0013368602	0.0012566407	0
99.99443	0.0015929098	0.0014517619	0.0013077713	0.0012185477	0
99.99444	0.001591798	0.0014534235	0.0013107728	0.0012164613	0
99.9943	0.001626464	0.0014883211	0.0013400129	0.0012351813	0
99.99411	0.0016948568	0.0015444501	0.0013765797	0.0012804465	0
99.994316	0.00162427	0.001484165	0.0013368761	0.0012386678	0
99.994156	0.0016739932	0.0015245494	0.0013643204	0.0012751597	0
99.99418	0.0016675515	0.0015189847	0.0013654034	0.001272436	0
99.99399	0.0017341049	0.0015729498	0.0013917508	0.0013158434	0
99.99399	0.0017300827	0.0015626706	0.0013987075	0.0013230854	0
99.994095	0.0016956034	0.0015319244	0.0013793147	0.0013057777	0
99.993965	0.0017402561	0.0015593764	0.0014038061	0.0013406284	0
99.993744	0.0018103938	0.0016268808	0.0014341724	0.0013762311	0
99.994286	0.0016338932	0.0014892796	0.0013394888	0.0012537658	0
99.994156	0.0016691389	0.0015230343	0.0013764817	0.0012852489	0
99.99399	0.001717549	0.0015614295	0.0014066735	0.0013217096	0
99.99398	0.0017159951	0.0015642543	0.0014186379	0.0013212105	0
99.99397	0.0017142467	0.0015605463	0.0014260281	0.0013186829	0
99.99388	0.001749095	0.0015829967	0.0014427286	0.001334962	0
99.994156	0.0016657617	0.0015222337	0.0013883165	0.0012735577	0
99.99409	0.0016866083	0.001537796	0.0013972473	0.0012853786	0
99.99392	0.0017391391	0.0015959633	0.0014357778	0.001308745	0
99.99402	0.001710207	0.0015526059	0.0014169485	0.0012981184	0
99.99157	0.0023659088	0.0022532206	0.0020260387	0.0017810167	0
99.99369	0.0018157607	0.0016427541	0.0014746506	0.0013737854	0
99.99397	0.0017230347	0.0015717911	0.0014172994	0.0013139574	0
99.99394	0.001732328	0.0015703223	0.0014161249	0.0013284251	0
99.99404	0.0017050055	0.0015427038	0.0013969261	0.0013163505	0
99.99388	0.0017516331	0.0015852061	0.0014328898	0.0013424165	0
99.993965	0.0017227062	0.0015641723	0.0014224845	0.0013219289	0
99.99381	0.0017714134	0.0016019383	0.0014575762	0.001349393	0
99.99411	0.0016877862	0.0015307176	0.0013840632	0.0012883507	0
99.99402	0.0017173996	0.0015531857	0.0013983523	0.0013086217	0
99.993744	0.0018093619	0.0016211976	0.0014487128	0.0013658724	0
99.99348	0.0018988696	0.001701364	0.0015043826	0.0014164795	0
99.99372	0.0018163865	0.0016393404	0.0014564833	0.0013645114	0
99.993286	0.0019721116	0.0017421376	0.0015337382	0.001468202	0
99.99378	0.0018005249	0.0016255213	0.0014461287	0.001347579	0
99.9939	0.0017652712	0.0015901828	0.0014142563	0.0013301736	0
99.99397	0.0017319891	0.0015807527	0.0014166371	0.0013013462	0
99.9942	0.0016547889	0.0015166422	0.0013695885	0.0012575088	0
99.994316	0.0016200163	0.0014782363	0.0013322887	0.0012464903	0
99.99429	0.0016306746	0.0014812442	0.0013379601	0.0012602067	0
99.99389	0.001763091	0.0015805605	0.0014104627	0.001354722	0
99.99413	0.0016818262	0.0015165963	0.0013636203	0.0013053397	0
