sujeto	accuracy	F1_X_clase	f1_macro
sub-001	0.9017580144777663	[0.91267606 0.63768116 0.912      0.93670886 0.93866667]	0.8675465486368956
sub-002	0.80083857442348	[0.91150442 0.65625    0.82209945 0.         0.94455067]	0.6668809083017269
sub-003	0.899492385786802	[0.96930533 0.46666667 0.85714286 0.9071618  0.94864048]	0.8297834284172119
sub-004	0.8788368336025848	[0.92307692 0.46666667 0.89904762 0.89       0.88082902]	0.8119240448670499
sub-005	0.8583509513742071	[0.85714286 0.69387755 0.86330935 0.78421053 0.98918919]	0.8375458952372459
sub-006	0.8937246963562753	[0.83544304 0.65934066 0.92351816 0.86426593 0.925     ]	0.8415135579458257
sub-007	0.872745490981964	[0.84033613 0.5        0.85641026 0.87111111 0.93155259]	0.7998820179242452
sub-008	0.7417355371900827	[0.84745763 0.57959184 0.7760181  0.11188811 0.94193548]	0.6513782318319858
sub-009	0.7937625754527163	[0.75720165 0.56338028 0.83783784 0.81679389 0.82467532]	0.7599777966847219
sub-010	0.8700564971751412	[0.76521739 0.53146853 0.92295597 0.77018634 0.89145497]	0.7762566396754683
sub-011	0.8475247524752475	[0.879046   0.38848921 0.88385269 0.93714286 0.79831933]	0.7773700162636037
sub-012	0.8497607655502393	[0.69902913 0.696      0.88636364 0.89328063 0.85981308]	0.806897295820089
sub-013	0.8757346767422334	[0.53488372 0.22641509 0.90984743 0.92564492 0.74647887]	0.6686540078337566
sub-014	0.9172932330827067	[0.85496183 0.54054054 0.94726562 0.92631579 0.9255079 ]	0.8389183375504988
sub-015	0.9439655172413793	[0.95652174 0.74603175 0.95460123 0.97916667 0.953125  ]	0.9178892757645425
sub-016	0.7981171548117155	[0.82978723 0.31292517 0.87157895 0.76078431 0.81182796]	0.7173807244387478
sub-017	0.8857431749241659	[0.77124183 0.55882353 0.89746683 0.96997691 0.92271663]	0.8240451439853157
sub-018	0.8599801390268124	[0.87804878 0.53333333 0.87946429 0.61666667 0.95900178]	0.7733029697466569
sub-019	0.9054415700267618	[0.91549296 0.4        0.90593047 0.91778203 0.93624772]	0.8150906355991477
sub-020	0.8655030800821355	[0.94716243 0.43971631 0.88997555 0.8487395  0.875     ]	0.8001187569183574
sub-021	0.8761149653121902	[0.83076923 0.56       0.93087558 0.69047619 0.98484848]	0.7993938964261547
sub-022	0.8015267175572519	[0.58867925 0.42666667 0.90394338 0.83962264 0.81651376]	0.7150851384151288
sub-023	0.8264680105170903	[0.56074766 0.38787879 0.87884268 0.94219653 0.83154122]	0.7202413756342241
sub-024	0.890927624872579	[0.91666667 0.50684932 0.91409692 0.91262136 0.94505495]	0.839057840462593
sub-025	0.7977059436913452	[0.73684211 0.31884058 0.81403509 0.87272727 0.75071633]	0.6986322755596193
