sujeto	accuracy	F1_X_clase	f1_macro
sub-001	0.6599732262382865	[0.66403162 0.31851852 0.64354528 0.8447205  0.90034364]	0.6742319115922804
sub-002	0.7480136208853575	[0.8199446  0.32432432 0.74804382 0.73764259 0.86039886]	0.6980708374157638
sub-003	0.7806060606060606	[0.85191348 0.26490066 0.80427046 0.89285714 0.82142857]	0.7270740633416519
sub-004	0.6171003717472119	[0.45038168 0.3442623  0.4719764  0.80555556 0.84866469]	0.5841681239268153
sub-005	0.812807881773399	[0.64556962 0.4952381  0.86859688 0.83898305 0.82819383]	0.7353162961795494
sub-006	0.7235984354628422	[0.77712032 0.37209302 0.81764706 0.625      0.20689655]	0.5597513898770671
sub-007	0.658008658008658	[0.56521739 0.16271186 0.81412639 0.90909091 0.89361702]	0.6689527160261355
sub-008	0.7660044150110376	[0.46994536 0.44329897 0.87921654 0.81818182 0.77900552]	0.6779296414048404
sub-009	0.796440489432703	[0.88857939 0.44295302 0.80864198 0.72037915 0.72222222]	0.7165551503542307
sub-010	0.8041714947856315	[0.71615721 0.13888889 0.81398252 0.84375    0.94021739]	0.6905992014562203
sub-011	0.7518518518518519	[0.84146341 0.29032258 0.70824053 0.87       0.93023256]	0.7280518175880001
sub-012	0.6817593790426908	[0.64215686 0.45682451 0.8        0.83333333]	0.6830786771533126
sub-013	0.6983606557377049	[0.63272727 0.20472441 0.85761589 0.90972222 0.73134328]	0.6672266164040277
sub-014	0.8286802030456852	[0.77272727 0.125      0.87560976 0.57894737 0.92513369]	0.6554836174170917
sub-015	0.8989037758830695	[0.92740741 0.36363636 0.91258741 0.99636364 0.6875    ]	0.777498963998964
sub-016	0.8425381903642774	[0.70440252 0.45977011 0.89153439 0.86039886 0.87679083]	0.758579342708922
sub-017	0.6964047936085219	[0.64830508 0.27888446 0.81643836 0.81034483 0.93288591]	0.6973717273376032
sub-018	0.7598684210526315	[0.68148148 0.2955665  0.8575233  0.88333333 0.86222222]	0.7160253683527479
sub-019	0.8905852417302799	[0.91768293 0.48214286 0.90238612 0.95275591 0.96629213]	0.8442519882904115
sub-020	0.6186046511627907	[0.72088725 0.34267913 0.6440678  0.68518519 0.71287129]	0.6211381284981919
sub-021	0.7695700110253583	[0.74285714 0.4198895  0.83825598 0.85375494 0.77742947]	0.7264374061824319
sub-022	0.376056338028169	[0.53072626 0.18181818 0.41090909 0.         0.54054054]	0.3327988140502107
sub-023	0.8243727598566308	[0.84347826 0.41958042 0.82394366 0.86692015 0.91489362]	0.7737632223068693
sub-024	0.8486547085201793	[0.77622378 0.37209302 0.92220114 0.59649123 0.92248062]	0.7178979572449457
sub-025	0.5430555555555555	[0.58513189 0.17910448 0.62376238 0.6097561  0.55223881]	0.5099987303730203
