W	N1	N2	N3	R	anotaciones
99.98651	0.0038020934	0.0034505995	0.0030019078	0.0032342675	0.0
99.98966	0.0029217137	0.002610949	0.0023329116	0.0024836606	0.0
99.98937	0.0030243192	0.0027098835	0.0024160757	0.0024818562	0.0
99.98718	0.0036929275	0.003297881	0.002919504	0.0029053516	0.0
99.98305	0.0049614655	0.0043712887	0.0038729683	0.003753633	0.0
99.97508	0.0074840034	0.006392822	0.0056765955	0.00536817	0.0
99.91105	0.02960585	0.022076106	0.01866625	0.018603597	0.0
99.84123	0.05368009	0.04127881	0.032837	0.03098014	0.0
0.59168756	98.30377	0.5659697	0.25420395	0.28437135	1.0
0.79330754	1.6321279	95.26417	1.7334787	0.57692623	2.0
0.47311792	1.2735637	96.926384	0.8805224	0.44640777	2.0
0.17400192	0.3551689	98.978195	0.323391	0.16924717	2.0
0.15240157	0.24584341	99.12056	0.32988596	0.15131578	2.0
0.15414196	0.2750779	99.09336	0.31933343	0.15809295	2.0
0.18535137	0.27771428	99.00718	0.3600338	0.16972277	2.0
7.433257	82.910385	6.06016	1.7627046	1.833497	1.0
2.326417	11.612918	81.36582	2.728706	1.9661391	2.0
0.24034336	0.4591235	98.632744	0.45531452	0.21247414	2.0
0.14122505	0.28710285	99.23914	0.1979666	0.13456446	2.0
0.08171511	0.1048096	99.61778	0.13037135	0.06532807	2.0
0.060574543	0.08440087	99.72495	0.08137196	0.04870236	2.0
0.37888452	0.50043416	98.62359	0.28844145	0.20865446	2.0
0.14300051	0.29204947	99.185776	0.23899433	0.14017865	2.0
0.08285582	0.1491932	99.55947	0.12581752	0.08264928	2.0
0.08187881	0.14425682	99.56389	0.12524168	0.08473402	2.0
0.090650804	0.15687382	99.51006	0.15582477	0.08659403	2.0
0.8272023	0.7611657	97.49891	0.5915585	0.3211711	2.0
0.068441264	0.11332637	99.658226	0.10096507	0.059041187	2.0
0.20063291	0.46871147	98.864136	0.27258232	0.193932	2.0
0.1057993	0.17590743	99.39527	0.21937126	0.103652254	2.0
0.62334424	0.7565435	95.88583	2.15553	0.57876116	2.0
0.123699136	0.20686896	99.266846	0.2775678	0.12502117	2.0
2.5315614	2.3455546	16.13886	76.76622	2.2178025	3.0
0.5592607	0.6749344	96.450134	1.7971152	0.5185554	2.0
1.9523726	2.1070354	83.42684	10.74538	1.7683734	2.0
0.12330032	0.19854975	99.27105	0.2766011	0.13049488	2.0
0.25680035	0.3173744	98.529396	0.6569434	0.23948553	2.0
0.083041176	0.14258617	99.52163	0.16436833	0.08837421	2.0
0.25790548	0.3606457	98.47163	0.6635926	0.24622811	2.0
1.8943044	2.0339577	85.72428	8.719409	1.628045	2.0
4.2715225	8.258673	75.26276	9.545025	2.6620169	2.0
0.33004525	0.84093344	97.9277	0.57519704	0.32613012	2.0
1.5389689	1.4210682	6.565795	89.21785	1.2563217	3.0
0.18554983	0.324244	98.9262	0.39026245	0.17374188	2.0
0.16865416	0.35280564	98.96325	0.33410528	0.18118307	2.0
0.35994962	0.48928574	97.83656	0.9858754	0.32831648	2.0
1.8935468	2.0959616	84.82796	9.54872	1.6338123	2.0
0.20638989	0.34331658	98.80813	0.45574653	0.1864236	2.0
1.2879338	1.3003073	94.11516	2.6127882	0.6838175	2.0
1.39503	1.6559284	89.55424	6.1774917	1.2173136	2.0
0.13358755	0.25001335	99.255486	0.23385021	0.12706292	2.0
1.449747	1.363523	6.562397	89.366165	1.2581717	3.0
0.24024418	0.43645835	98.45658	0.6158423	0.25088084	2.0
0.94614637	0.8673424	3.5550084	93.80481	0.82669675	3.0
2.2607245	2.2643912	15.174373	78.193504	2.1070077	3.0
2.2372148	2.2173717	14.433247	79.04675	2.0654051	3.0
0.33103195	0.29637617	0.87560594	98.20789	0.28908896	3.0
0.29039404	0.2531073	0.73026925	98.476585	0.2496519	3.0
1.5998707	1.5835693	8.357564	86.99995	1.4590497	3.0
0.1985449	0.1780194	0.4643614	98.98454	0.17452806	3.0
0.15463617	0.13777424	0.3408633	99.23077	0.13596638	3.0
0.13677464	0.12139881	0.29356718	99.328156	0.12010507	3.0
0.14237578	0.12696439	0.3100645	99.295555	0.12503506	3.0
0.12011379	0.10650187	0.25116566	99.416855	0.10536093	3.0
0.11803439	0.10439215	0.24578439	99.42851	0.103279985	3.0
0.09772896	0.08545096	0.20319463	99.52721	0.08642282	3.0
0.10041433	0.086699806	0.20820482	99.51678	0.0879039	3.0
0.116683334	0.0978327	0.24290475	99.44372	0.09886395	3.0
0.262721	0.20761304	0.5761819	98.749084	0.2044008	3.0
0.95843077	1.4813714	95.43555	1.509353	0.6152971	2.0
0.5031855	1.3087544	96.61427	1.0376302	0.5361651	2.0
1.7304001	1.9102732	87.71372	7.275109	1.3704963	2.0
0.1279277	0.18044303	99.32264	0.25166056	0.117334016	2.0
0.27151784	0.65137464	98.27465	0.4883768	0.31407648	2.0
0.17103136	0.26448455	98.98879	0.4044631	0.17122427	2.0
2.4951544	3.022475	80.05532	12.200257	2.22679	2.0
2.7151961	2.623432	22.116058	69.98906	2.5562553	3.0
0.7015693	0.57878864	2.1529484	95.98107	0.58561736	3.0
0.16391598	0.27611178	99.14228	0.27029502	0.14739825	2.0
0.97398746	1.1428201	93.57527	3.4573357	0.85058993	2.0
0.10937223	0.18344654	99.421555	0.1783525	0.10727601	2.0
0.5326381	0.6644416	96.67918	1.6084267	0.5153178	2.0
0.11119696	0.19343194	99.39316	0.19050674	0.11170227	2.0
0.14074726	0.25606263	99.17957	0.27015668	0.15345548	2.0
0.107650205	0.17583436	99.33097	0.20912106	0.17642003	2.0
0.11570992	0.22275525	99.31746	0.21999243	0.1240782	2.0
1.9572781	2.613263	86.451416	5.740719	3.237321	2.0
2.6737578	83.55939	9.5245075	1.852658	2.389697	1.0
0.19607052	0.30393645	98.959724	0.36913443	0.17114027	2.0
0.08769575	0.1304146	99.58147	0.11690172	0.083525844	2.0
99.664345	0.08600183	0.11620221	0.07400881	0.059444305	0.0
96.49653	1.4688996	1.0494316	0.5026663	0.4824807	0.0
0.57811534	1.0091913	97.45466	0.61593515	0.34210455	2.0
3.7358828	89.98557	3.8981307	1.1273414	1.2530704	1.0
0.97722447	2.7016163	94.47495	1.0979694	0.7482348	2.0
98.94524	0.31432617	0.37717625	0.19938847	0.16386953	0.0
1.0670906	2.5869174	94.48882	1.1623603	0.6948096	2.0
1.0828583	1.1395763	96.67003	0.6698509	0.43768495	2.0
4.5364823	69.27614	20.78072	2.5967271	2.8099363	1.0
0.10074796	0.1584948	99.5129	0.14647879	0.081374034	2.0
0.05426947	0.07421128	99.73796	0.08632742	0.047229514	2.0
0.14647907	0.18582428	99.23811	0.30106843	0.12852052	2.0
0.065707274	0.08429328	99.69632	0.10055382	0.053125836	2.0
0.048919387	0.068710476	99.77191	0.06908788	0.041368693	2.0
0.092743635	0.12349463	99.52217	0.1765084	0.08508635	2.0
0.07999833	0.10349571	99.59726	0.14844851	0.07079591	2.0
0.24295673	0.30567852	98.66549	0.5667349	0.21914315	2.0
0.109617844	0.1908274	99.39938	0.19679496	0.10337691	2.0
0.77009255	1.876941	96.04913	0.71065956	0.5931718	2.0
0.24279815	0.5572649	98.64587	0.32191563	0.23214895	2.0
0.9030379	1.1105305	94.0428	3.1632137	0.7804171	2.0
0.089079395	0.15488409	99.51824	0.1515369	0.08625419	2.0
0.09144652	0.12092065	99.518425	0.18162584	0.08758125	2.0
2.592503	3.0161648	80.338356	11.110045	2.942938	2.0
2.552807	2.6895392	76.88216	15.543511	2.331985	2.0
0.15898646	0.24096523	99.14765	0.2761075	0.1762799	2.0
0.32302976	0.7414325	97.97135	0.4491701	0.51502246	2.0
2.5924985	4.0060434	80.99047	5.277864	7.133122	2.0
