sujeto	accuracy	F1_X_clase	f1_macro
sub-001	0.3467202141900937	[0.33285917 0.         0.33913043 0.         0.79844961]	0.2940878444300295
sub-002	0.3473325766174801	[0.38238702 0.         0.36813187 0.         0.55849057]	0.2618018912371653
sub-003	0.5466666666666666	[0.62302006 0.         0.54210526 0.03636364 0.58757062]	0.3578119168696861
sub-004	0.28376703841387857	[0.24012158 0.         0.36448598 0.01544402 0.72425249]	0.26886081379877824
sub-005	0.31773399014778325	[0.21770682 0.         0.42725599 0.         0.65048544]	0.25908964872812906
sub-006	0.5814863102998696	[0.67349552 0.02597403 0.65938069 0.         0.04761905]	0.28129385686531844
sub-007	0.32142857142857145	[0.37298387 0.01520913 0.23239437 0.01408451 0.91017964]	0.3089703020802054
sub-008	0.22958057395143489	[0.17647059 0.         0.36363636 0.         0.28444444]	0.16491027926322044
sub-009	0.5450500556173526	[0.63768116 0.         0.54807692 0.01680672 0.68656716]	0.37782639387307865
sub-010	0.406720741599073	[0.34844193 0.         0.39591837 0.         0.80615385]	0.3101028279692788
sub-011	0.4802469135802469	[0.61614173 0.         0.20960699 0.0862069  0.81034483]	0.3444600886641918
sub-012	0.37645536869340235	[0.40376851 0.         0.48157248 0.63703704]	0.3805945061665116
sub-013	0.3158469945355191	[0.39138943 0.         0.37940379 0.         0.43678161]	0.2415149671437331
sub-014	0.47715736040609136	[0.33504274 0.         0.58086957 0.         0.7047619 ]	0.3241348410044062
sub-015	0.6613885505481121	[0.79006211 0.         0.67586207 0.20915033 0.56521739]	0.4480583797736986
sub-016	0.14806110458284372	[0.16235294 0.         0.11260054 0.         0.30638298]	0.11626729121858088
sub-017	0.511318242343542	[0.52090032 0.00952381 0.7008547  0.17142857 0.73895582]	0.42833264532873255
sub-018	0.48464912280701755	[0.41666667 0.         0.5916955  0.2745098  0.84821429]	0.42621725160652496
sub-019	0.6017811704834606	[0.70187019 0.19277108 0.57063712 0.08759124 0.90243902]	0.4910617311471562
sub-020	0.42674418604651165	[0.55045872 0.00877193 0.4265928  0.         0.475     ]	0.29216468864096506
sub-021	0.3318632855567806	[0.3587963  0.         0.45564516 0.06993007 0.28282828]	0.23343996206899428
sub-022	0.2267605633802817	[0.37254902 0.         0.07142857 0.         0.10526316]	0.10984814978623028
sub-023	0.2915173237753883	[0.28720627 0.         0.41873278 0.14569536 0.32081911]	0.23449070511081613
sub-024	0.40582959641255606	[0.32453826 0.         0.37138508 0.         0.86029412]	0.3112434919872215
sub-025	0.4527777777777778	[0.55958549 0.         0.52459016 0.         0.25454545]	0.267744222141572
