Sujeto,Accuracy,F1_Macro,F1_Clase
sub-001,0.8872802481902792,0.8341267445604098,[0.88695652 0.55045872 0.92105263 0.93375394 0.87841191]
sub-002,0.2617801047120419,0.1995310944890777,[0.33699634 0.12244898 0.32026144 0.         0.21794872]
sub-003,0.20372285418821096,0.14783214393320596,[0.2826087  0.04255319 0.35820896 0.02453988 0.03125   ]
sub-004,0.36935483870967745,0.31540240353224547,[0.46975089 0.0754717  0.35490605 0.43824701 0.23863636]
sub-005,0.2608236536430834,0.224272643865545,[0.248      0.11764706 0.3442623  0.39072848 0.02072539]
sub-006,0.34022750775594623,0.26189185899126594,[0.27272727 0.02222222 0.42128122 0.31454006 0.27868852]
sub-007,0.41778697001034126,0.33829653711155105,[0.33789954 0.         0.44949495 0.50568182 0.39840637]
sub-008,0.390899689762151,0.29008648022886935,[0.39384615 0.06629834 0.50663717 0.08695652 0.39669421]
sub-009,0.40537745604963804,0.33900873233022155,[0.29452055 0.06666667 0.47531573 0.34586466 0.51267606]
sub-010,0.38883143743536713,0.23283632315116573,[0.22660099 0.         0.55763547 0.09009009 0.28985507]
sub-011,0.30610134436401243,0.23305371222496846,[0.575      0.04938272 0.35227273 0.02439024 0.16422287]
sub-012,0.41985522233712513,0.3069575191385113,[0.11167513 0.06493506 0.56625142 0.37241379 0.4195122 ]
sub-013,0.265770423991727,0.1456124076729325,[0.03921569 0.         0.40261153 0.26315789 0.02307692]
sub-014,0.44635193133047213,0.29670373572044745,[0.14545455 0.08219178 0.64642082 0.30327869 0.30617284]
sub-015,0.3939720129171152,0.2921250475330673,[0.30985915 0.10638298 0.56753408 0.1010101  0.37583893]
,0.38387571302647927,0.297182492298899,
