Sujeto,Accuracy,F1_Macro,F1_Clase
sub-00001,0.2750775594622544,0.18621250231042386,[0.24       0.06741573 0.44626168 0.11409396 0.06329114]
sub-00002,0.10651499482936919,0.06616411193114966,[0.0656168  0.         0.22884013 0.         0.03636364]
sub-00003,0.3474663908996898,0.2876318807183239,[0.33121019 0.02597403 0.39823009 0.3627451  0.32      ]
sub-00004,0.2239010989010989,0.15325644314759215,[0.39529412 0.         0.27350427 0.08722741 0.01025641]
sub-00005,0.22440537745604963,0.1301572757370454,[0.20725389 0.02380952 0.37486218 0.03174603 0.01311475]
sub-00006,0.3391933815925543,0.22235217425079162,[0.39328537 0.         0.4431946  0.         0.2752809 ]
sub-00007,0.2850924918389554,0.16511672178723966,[0.31219512 0.         0.44107351 0.04145078 0.0308642 ]
sub-00008,0.3680917622523462,0.28465643073051894,[0.29530201 0.03773585 0.48357424 0.36612022 0.24054983]
sub-00009,0.3619441571871768,0.2844908966018506,[0.33409611 0.025      0.49565217 0.38219895 0.18550725]
sub-00010,0.2998965873836608,0.24164555873220683,[0.31449631 0.03921569 0.34358974 0.18987342 0.32105263]
sub-00011,0.3027295285359802,0.21845986421508612,[0.315      0.         0.39879154 0.23287671 0.14563107]
sub-00012,0.36618257261410786,0.30373273814548746,[0.308      0.04494382 0.44444444 0.48598131 0.23529412]
sub-00013,0.18304033092037228,0.13653526005638433,[0.19414484 0.02666667 0.25739645 0.18326693 0.02120141]
sub-00014,0.4674250258531541,0.295004689815412,[0.32736573 0.03030303 0.6259542  0.         0.49140049]
sub-00015,0.28884254431699685,0.22975373125016504,[0.26623377 0.06741573 0.37569061 0.15165877 0.28776978]
,0.2959869202695844,0.2136780186286452,
