Sujeto,Accuracy,F1_Macro,F1_Clase
sub-001,0.16442605997931747,0.056483126110124335,[0.28241563 0.         0.         0.         0.        ]
sub-002,0.16649431230610134,0.06544909172460193,[0.303207   0.         0.02403846 0.         0.        ]
sub-003,0.1923474663908997,0.10235902984418987,[0.34451902 0.01904762 0.10358566 0.         0.04464286]
sub-004,0.27714581178903824,0.1681308018710243,[0.36612702 0.03174603 0.3777403  0.         0.06504065]
sub-005,0.23991726990692863,0.14726302191447943,[0.34118967 0.0952381  0.28136882 0.         0.01851852]
sub-006,0.20165460186142709,0.1236197497570356,[0.33187773 0.14159292 0.1446281  0.         0.        ]
sub-007,0.16339193381592554,0.06812447761428528,[0.3011583  0.03508772 0.00437637 0.         0.        ]
sub-008,0.1623578076525336,0.058705852023717454,[0.28888889 0.         0.00464037 0.         0.        ]
sub-009,0.18717683557394002,0.09094338688209985,[0.31460674 0.         0.08677686 0.         0.05333333]
sub-010,0.16442605997931747,0.056483126110124335,[0.28241563 0.         0.         0.         0.        ]
sub-011,0.16442605997931747,0.056483126110124335,[0.28241563 0.         0.         0.         0.        ]
sub-012,0.16442605997931747,0.056483126110124335,[0.28241563 0.         0.         0.         0.        ]
sub-013,0.16649431230610134,0.0672419448963401,[0.29067642 0.04081633 0.00471698 0.         0.        ]
sub-014,0.16752843846949328,0.06748117980994693,[0.30136986 0.         0.03603604 0.         0.        ]
sub-015,0.16649431230610134,0.07097466510669445,[0.28937729 0.06060606 0.00488998 0.         0.        ]
,0.18324715615305062,0.0837483803923275,
