Sujeto	Accuracy	F1_Macro	F1_Clase	anotaciones_predic	candidato_revision
sub-001	0.4318181818181818	0.31810422900875973	[0.0106383  0.25118483 0.58117326 0.74752475 0.        ]		
sub-002	0.5350785340314136	0.1931084276570924	[0.0173913  0.11904762 0.82910321 0.         0.        ]		
sub-003	0.3793103448275862	0.28241816716835466	[0.00623053 0.1025641  0.51084337 0.79245283 0.        ]		
sub-004	0.5048387096774194	0.29843653803350423	[0.01470588 0.05714286 0.70464768 0.71568627 0.        ]		
sub-005	0.5491024287222809	0.33466271374825796	[0.02173913 0.1459854  0.73347107 0.77211796 0.        ]		
sub-006	0.6208291203235592	0.33267163552462076	[0.02898551 0.20689655 0.8120915  0.61538462 0.        ]		
sub-007	0.48348348348348347	0.2936587011426092	[0.03278689 0.00775194 0.67535545 0.75239923 0.        ]		
sub-008	0.4293085655314757	0.22660581112576036	[0.05780347 0.35164835 0.61246612 0.11111111 0.        ]		
sub-009	0.4552763819095477	0.2659204476742231	[0.01481481 0.12883436 0.65989848 0.52605459 0.        ]		
sub-010	0.5587958607714016	0.3110357440761752	[0.03571429 0.11167513 0.79909366 0.60869565 0.        ]		
sub-011	0.4381800197823937	0.31519752765756653	[0.04142012 0.10358566 0.57991803 0.85106383 0.        ]		
sub-012	0.4445506692160612	0.3088882884163812	[0.         0.21465077 0.61493124 0.71485944 0.        ]		
sub-013	0.6493288590604027	0.3113501349604654	[0.03333333 0.02222222 0.72894078 0.77225434 0.        ]		
sub-014	0.5740343347639485	0.28634930075098763	[0.06153846 0.12546125 0.82993197 0.41481481 0.        ]		
sub-015	0.5328310010764262	0.34099767523431357	[0.03448276 0.12099644 0.74647887 0.8030303  0.        ]		
