	Sujeto	canal	media	mediana	dataset	etapa	Q99	Q1
0	sub-001	EEG Fpz-Cz	0.8254503816793893	0.837	SleepCasset	N2	0.87375	0.792
1	sub-001	EEG Fpz-Cz	0.8437286282306162	0.859	SleepCasset	W	0.883	0.828
2	sub-001	EEG Fpz-Cz	0.6746744186046513	0.671	SleepCasset	R	0.713	0.627
3	sub-001	EEG Fpz-Cz	0.6528448275862068	0.656	SleepCasset	N1	0.7645	0.54725
4	sub-001	EEG Pz-Oz	0.7909580152671756	0.801	SleepCasset	N2	0.83675	0.767
5	sub-001	EEG Pz-Oz	0.537589463220676	0.537	SleepCasset	W	0.609	0.45975
6	sub-001	EEG Pz-Oz	0.6053798449612403	0.602	SleepCasset	R	0.663	0.543
7	sub-001	EEG Pz-Oz	0.5729655172413792	0.588	SleepCasset	N1	0.69775	0.4345
8	sub-002	EEG Fpz-Cz	0.7981021897810219	0.807	SleepCasset	N2	0.847	0.7635000000000001
9	sub-002	EEG Fpz-Cz	0.7524289501590669	0.779	SleepCasset	W	0.814	0.723
10	sub-002	EEG Fpz-Cz	0.6328760683760685	0.6305000000000001	SleepCasset	R	0.6847500000000001	0.586
11	sub-002	EEG Fpz-Cz	0.6537118644067795	0.65	SleepCasset	N1	0.7384999999999999	0.581
12	sub-002	EEG Pz-Oz	0.7523430656934307	0.768	SleepCasset	N2	0.8085	0.7084999999999999
13	sub-002	EEG Pz-Oz	0.49786691410392364	0.492	SleepCasset	W	0.5587500000000001	0.434
14	sub-002	EEG Pz-Oz	0.5619615384615384	0.568	SleepCasset	R	0.63375	0.50025
15	sub-002	EEG Pz-Oz	0.6331694915254237	0.63	SleepCasset	N1	0.6915	0.5854999999999999
16	sub-003	EEG Fpz-Cz	0.8230657640232107	0.828	SleepCasset	N2	0.871	0.782
17	sub-003	EEG Fpz-Cz	0.9243391258557135	0.93	SleepCasset	W	0.946	0.911
18	sub-003	EEG Fpz-Cz	0.7826892655367231	0.773	SleepCasset	R	0.831	0.735
19	sub-003	EEG Fpz-Cz	0.8064036697247706	0.791	SleepCasset	N1	0.868	0.761
20	sub-003	EEG Pz-Oz	0.7204835589941974	0.732	SleepCasset	N2	0.78	0.662
21	sub-003	EEG Pz-Oz	0.4131058451816746	0.402	SleepCasset	W	0.513	0.2795
22	sub-003	EEG Pz-Oz	0.7092259887005649	0.712	SleepCasset	R	0.754	0.669
23	sub-003	EEG Pz-Oz	0.5750642201834862	0.593	SleepCasset	N1	0.684	0.427
24	sub-004	EEG Fpz-Cz	0.8214065743944637	0.829	SleepCasset	N2	0.87275	0.776
25	sub-004	EEG Fpz-Cz	0.9161328976034858	0.922	SleepCasset	W	0.94	0.899
26	sub-004	EEG Fpz-Cz	0.7852899999999999	0.7815000000000001	SleepCasset	R	0.848	0.7324999999999999
27	sub-004	EEG Fpz-Cz	0.7762391304347828	0.767	SleepCasset	N1	0.84525	0.7115
28	sub-004	EEG Pz-Oz	0.7135778546712803	0.724	SleepCasset	N2	0.77975	0.657
29	sub-004	EEG Pz-Oz	0.4773796296296296	0.4725	SleepCasset	W	0.5892499999999999	0.34075
