	Sujeto	canal	media	mediana	dataset	etapa	Q99	Q1
0	sub-001	EEG Fpz-Cz	0.024469465648854962	0.023	SleepCasset	N2	0.029	0.017
1	sub-001	EEG Fpz-Cz	0.017	0.017	SleepCasset	W	0.021	0.014
2	sub-001	EEG Fpz-Cz	0.059728682170542634	0.059	SleepCasset	R	0.073	0.049
3	sub-001	EEG Fpz-Cz	0.2252758620689655	0.2245	SleepCasset	N1	0.27875000000000005	0.16925
4	sub-001	EEG Pz-Oz	0.0354351145038168	0.031	SleepCasset	N2	0.03975	0.025
5	sub-001	EEG Pz-Oz	0.106	0.106	SleepCasset	W	0.123	0.089
6	sub-001	EEG Pz-Oz	0.14384496124031007	0.137	SleepCasset	R	0.181	0.098
7	sub-001	EEG Pz-Oz	0.25231034482758624	0.2445	SleepCasset	N1	0.30174999999999996	0.16875
8	sub-002	EEG Fpz-Cz	0.030012165450121656	0.028	SleepCasset	N2	0.036	0.022
9	sub-002	EEG Fpz-Cz	0.031	0.031	SleepCasset	W	0.04	0.025
10	sub-002	EEG Fpz-Cz	0.06773931623931626	0.0655	SleepCasset	R	0.081	0.054
11	sub-002	EEG Fpz-Cz	0.22159322033898304	0.222	SleepCasset	N1	0.2685	0.1645
12	sub-002	EEG Pz-Oz	0.04294403892944038	0.039	SleepCasset	N2	0.049	0.03
13	sub-002	EEG Pz-Oz	0.122	0.122	SleepCasset	W	0.145	0.105
14	sub-002	EEG Pz-Oz	0.15453418803418803	0.15	SleepCasset	R	0.206	0.096
15	sub-002	EEG Pz-Oz	0.23859322033898306	0.239	SleepCasset	N1	0.269	0.1985
16	sub-003	EEG Fpz-Cz	0.02919342359767892	0.027	SleepCasset	N2	0.037	0.019
17	sub-003	EEG Fpz-Cz	0.008	0.008	SleepCasset	W	0.01	0.006
18	sub-003	EEG Fpz-Cz	0.031231638418079098	0.03	SleepCasset	R	0.038	0.022
19	sub-003	EEG Fpz-Cz	0.10827522935779813	0.113	SleepCasset	N1	0.134	0.082
20	sub-003	EEG Pz-Oz	0.05045067698259189	0.048	SleepCasset	N2	0.059	0.037
21	sub-003	EEG Pz-Oz	0.121	0.121	SleepCasset	W	0.144	0.097
22	sub-003	EEG Pz-Oz	0.07561016949152542	0.07	SleepCasset	R	0.09	0.054
23	sub-003	EEG Pz-Oz	0.14222018348623855	0.151	SleepCasset	N1	0.192	0.087
24	sub-004	EEG Fpz-Cz	0.028430795847750864	0.026	SleepCasset	N2	0.036	0.019
25	sub-004	EEG Fpz-Cz	0.008	0.008	SleepCasset	W	0.01	0.006
26	sub-004	EEG Fpz-Cz	0.02904	0.027	SleepCasset	R	0.037	0.02
27	sub-004	EEG Fpz-Cz	0.1306304347826087	0.129	SleepCasset	N1	0.17325	0.085
28	sub-004	EEG Pz-Oz	0.048673010380622835	0.046	SleepCasset	N2	0.057	0.03725
29	sub-004	EEG Pz-Oz	0.1125	0.1125	SleepCasset	W	0.136	0.089
30	sub-004	EEG Pz-Oz	0.07246	0.069	SleepCasset	R	0.08925	0.053
31	sub-004	EEG Pz-Oz	0.15443478260869564	0.162	SleepCasset	N1	0.18725	0.12725
32	sub-005	EEG Fpz-Cz	0.020146226415094344	0.019	SleepCasset	N2	0.02425	0.014
33	sub-005	EEG Fpz-Cz	0.013	0.013	SleepCasset	W	0.019	0.009
34	sub-005	EEG Fpz-Cz	0.03567132867132867	0.03	SleepCasset	R	0.0455	0.021
35	sub-005	EEG Fpz-Cz	0.10617021276595744	0.108	SleepCasset	N1	0.1305	0.077
36	sub-005	EEG Pz-Oz	0.03758962264150943	0.032	SleepCasset	N2	0.043	0.024
37	sub-005	EEG Pz-Oz	0.113	0.113	SleepCasset	W	0.13	0.091
38	sub-005	EEG Pz-Oz	0.12518181818181817	0.118	SleepCasset	R	0.145	0.0915
