	Sujeto	canal	media	mediana	dataset	etapa	Q99	Q1
680	sub-001	EEG Fpz-Cz	0.12035114503816792	0.11	SleepCasset	N2	0.3316999999999996	0.04961
681	sub-001	EEG Fpz-Cz	0.09522117296222664	0.085	SleepCasset	W	0.3522299999999991	0.04
682	sub-001	EEG Fpz-Cz	0.22198449612403104	0.219	SleepCasset	R	0.38527999999999996	0.05432
683	sub-001	EEG Fpz-Cz	0.2252758620689655	0.2245	SleepCasset	N1	0.40748	0.05609
684	sub-001	EEG Pz-Oz	0.14799618320610688	0.137	SleepCasset	N2	0.3366799999999998	0.06305
685	sub-001	EEG Pz-Oz	0.1506307157057654	0.142	SleepCasset	W	0.3748899999999999	0.03422
686	sub-001	EEG Pz-Oz	0.21674418604651163	0.22	SleepCasset	R	0.3646	0.0626
687	sub-001	EEG Pz-Oz	0.25231034482758624	0.2445	SleepCasset	N1	0.43166	0.10568000000000001
688	sub-002	EEG Fpz-Cz	0.12809975669099757	0.12	SleepCasset	N2	0.3226999999999995	0.057100000000000005
689	sub-002	EEG Fpz-Cz	0.11098250265111347	0.098	SleepCasset	W	0.3987500000000005	0.048
690	sub-002	EEG Fpz-Cz	0.22766239316239315	0.2285	SleepCasset	R	0.3797699999999996	0.08364
691	sub-002	EEG Fpz-Cz	0.22159322033898304	0.222	SleepCasset	N1	0.39568000000000003	0.06616
692	sub-002	EEG Pz-Oz	0.1747250608272506	0.163	SleepCasset	N2	0.355	0.0821
693	sub-002	EEG Pz-Oz	0.1703764581124072	0.162	SleepCasset	W	0.40715000000000007	0.044700000000000004
694	sub-002	EEG Pz-Oz	0.24245299145299146	0.2345	SleepCasset	R	0.4247499999999997	0.12721000000000002
695	sub-002	EEG Pz-Oz	0.23859322033898306	0.239	SleepCasset	N1	0.40741999999999995	0.041319999999999996
696	sub-003	EEG Fpz-Cz	0.11022823984526112	0.104	SleepCasset	N2	0.23071999999999981	0.042
697	sub-003	EEG Fpz-Cz	0.056845181674565565	0.055	SleepCasset	W	0.132	0.014
698	sub-003	EEG Fpz-Cz	0.15327118644067797	0.155	SleepCasset	R	0.27296000000000004	0.051359999999999996
699	sub-003	EEG Fpz-Cz	0.10827522935779813	0.113	SleepCasset	N1	0.20904	0.014320000000000001
