sujeto	accuracy	F1_X_clase	f1_macro
sub-00001	0.9021237303785781	[0.96194825 0.69158879 0.90909091 0.74576271 0.96650718]	0.8549795665310042
sub-00002	0.9359925788497218	[0.98956159 0.25       0.87741935 0.71186441 0.875     ]	0.7407690696514403
sub-00003	0.916030534351145	[0.98176292 0.63414634 0.86115993 0.94594595 0.88205128]	0.8610132834190007
sub-00004	0.44368131868131866	[0.47529412 0.0625     0.34482759 0.55263158 0.36144578]	0.35933981318677083
sub-00005	0.9289012003693444	[0.96433666 0.64864865 0.93914807 0.85087719 0.94915254]	0.8704326237875707
sub-00006	0.8734995383194829	[0.95016611 0.62264151 0.89468405 0.47297297 0.93290735]	0.7746743991526053
sub-00007	0.8322440087145969	[0.84550085 0.30555556 0.84444444 0.88607595 0.88811189]	0.7539377372750822
sub-00008	0.8695198329853863	[0.85825243 0.18181818 0.85971686 0.9587156  0.8516129 ]	0.7420231936551178
sub-00009	0.8258064516129032	[0.96414343 0.63636364 0.77303989 0.57647059 0.96183206]	0.7823699203842376
sub-00010	0.9168975069252078	[0.93195876 0.35       0.92975207 0.92834891 0.91477273]	0.8109664931864696
sub-00011	0.37344913151364767	[0.57364341 0.11428571 0.37829457 0.31313131 0.05369128]	0.2866092574161873
sub-00012	0.8608515057113187	[0.92241379 0.34883721 0.86455331 0.83161512 0.90566038]	0.7746159628320433
sub-00013	0.9253456221198156	[0.96494157 0.53932584 0.90239411 0.93203883 0.91044776]	0.8498296229876496
sub-00014	0.8728110599078341	[0.94722222 0.28571429 0.88772298 0.         0.87281796]	0.5986954886223373
sub-00015	0.9029227557411273	[0.97491821 0.61788618 0.88486842 0.80851064 0.8503937 ]	0.8273154301118255
sub-00016	0.83963133640553	[0.93853073 0.55555556 0.82539683 0.77777778 0.90821256]	0.8010946907498632
sub-00017	0.916754478398314	[0.93236715 0.36842105 0.9301826  0.77464789 0.97587131]	0.7962980005484861
sub-00018	0.8522622345337026	[0.97446809 0.17142857 0.81616688 0.53107345 0.82591093]	0.6638095836000442
sub-00019	0.976036866359447	[0.99760956 0.4        0.95183044 0.95306859 0.98076923]	0.8566555655479806
sub-00020	0.8314711359404097	[0.976      0.375      0.67322835 0.67515924 0.85611511]	0.7111005380078302
sub-00021	0.8263305322128851	[0.95958279 0.34177215 0.80509554 0.65326633 0.93562232]	0.7390678265292261
sub-00022	0.7185461323392358	[0.90390707 0.11111111 0.63852243 0.472      0.56934307]	0.5389767358437552
sub-00023	0.6781485468245425	[0.86138614 0.17021277 0.62952646 0.67763158 0.63896104]	0.5955435969750518
sub-00024	0.8362068965517241	[0.98103666 0.28571429 0.74900398 0.48351648 0.88495575]	0.6768454335918991
sub-00025	0.834983498349835	[0.96618357 0.56551724 0.82653061 0.74358974 0.76521739]	0.7734077126795054
sub-00026	0.7105751391465677	[0.94419643 0.         0.49910233 0.57843137 0.75      ]	0.5543460270104451
sub-00027	0.8387413962635202	[0.94002789 0.40740741 0.77256318 0.74270557 0.90963855]	0.7544685205628296
sub-00028	0.8342361863488624	[0.86057692 0.47311828 0.88423645 0.78534031 0.80838323]	0.7623310407035692
sub-00029	0.6791044776119403	[0.8685259  0.         0.65882353 0.392      0.56916996]	0.49770387726008314
sub-00030	0.880184331797235	[0.98562975 0.47058824 0.71428571 0.67844523 0.93181818]	0.7561534231881033
