W	N1	N2	N3	R	anotaciones
99.993866	0.0016748775	0.0015654902	0.0014181114	0.0014694032	0
99.99522	0.0013035274	0.0012375196	0.001137711	0.0011100364	0
99.9953	0.0013009688	0.0012167982	0.0011062449	0.0010726863	0
99.995285	0.0013132424	0.0012238031	0.0011167055	0.0010674144	0
99.995224	0.0013346317	0.0012382338	0.0011282526	0.0010735282	0
99.99516	0.0013545805	0.0012522998	0.0011433391	0.0010838413	0
99.99509	0.0013792943	0.0012727163	0.001162176	0.0010985928	0
99.99505	0.0013936983	0.0012853246	0.0011748015	0.0011051774	0
99.994995	0.0014072591	0.0012984821	0.0011889915	0.0011119668	0
99.994965	0.0014163814	0.0013054981	0.0011957705	0.001115716	0
99.99494	0.0014194335	0.0013095712	0.0012029822	0.0011195012	0
99.99492	0.0014254141	0.0013140616	0.0012076708	0.0011236328	0
99.99491	0.0014296024	0.0013171614	0.0012122153	0.0011278007	0
99.994896	0.0014339205	0.0013203304	0.0012166547	0.0011301736	0
99.9949	0.001434688	0.0013188665	0.0012161498	0.001130149	0
99.994896	0.0014339751	0.0013198646	0.0012195803	0.0011280323	0
99.99491	0.0014332131	0.0013176138	0.001218442	0.0011272081	0
99.9949	0.0014346906	0.0013174774	0.0012184082	0.0011320678	0
99.99487	0.0014374487	0.0013230701	0.0012254573	0.0011316795	0
99.99487	0.0014385015	0.0013246796	0.0012284443	0.0011315834	0
99.994865	0.0014413026	0.0013268783	0.0012317401	0.0011327344	0
99.994865	0.0014427408	0.0013274513	0.0012335713	0.0011335348	0
99.994865	0.0014416324	0.0013262188	0.0012328307	0.0011323631	0
99.99486	0.001445814	0.0013304879	0.001236004	0.0011343632	0
99.99486	0.0014459563	0.0013295253	0.001235969	0.0011360358	0
99.99484	0.0014458612	0.0013295861	0.0012366403	0.0011364279	0
99.994835	0.0014397886	0.0013390314	0.0012483908	0.0011362449	0
99.994835	0.0014395409	0.0013388846	0.0012492962	0.0011362074	0
99.99483	0.0014421045	0.0013414108	0.0012516766	0.001138901	0
99.994835	0.0014406805	0.0013401251	0.0012513406	0.0011380963	0
99.99483	0.0014405535	0.0013397867	0.001252133	0.0011380826	0
99.99483	0.0014393184	0.0013379424	0.0012506054	0.0011390899	0
99.99481	0.0014439868	0.0013437001	0.0012565809	0.0011424175	0
99.99481	0.0014424464	0.0013425682	0.0012569004	0.0011407826	0
99.99481	0.0014410608	0.0013403441	0.0012562292	0.0011409456	0
99.99481	0.0014407573	0.0013401875	0.0012570636	0.0011417189	0
99.99482	0.0014396049	0.0013377713	0.0012551548	0.0011448921	0
99.99483	0.001439257	0.0013384246	0.0012557266	0.0011439594	0
99.994835	0.001443206	0.0013311353	0.0012500939	0.0011399322	0
99.99481	0.0014396586	0.0013398806	0.0012601183	0.0011449091	0
99.99481	0.0014475795	0.0013367686	0.0012577568	0.0011431611	0
99.994804	0.0014430289	0.0013436746	0.0012663169	0.0011472752	0
99.99479	0.0014457344	0.0013463399	0.0012688828	0.0011496599	0
99.99478	0.0014493577	0.0013502184	0.0012735005	0.0011519532	0
99.994774	0.0014518372	0.0013523	0.0012770367	0.0011545871	0
99.99477	0.0014505549	0.0013510785	0.0012762155	0.0011542111	0
99.99475	0.001451927	0.0013520676	0.0012775445	0.0011560975	0
99.99476	0.0014520428	0.0013523591	0.0012773552	0.0011555769	0
99.99475	0.001454418	0.0013542793	0.0012807704	0.0011579851	0
99.99474	0.0014556152	0.0013553114	0.0012824106	0.0011597638	0
99.99475	0.001454195	0.0013542321	0.0012812689	0.001158827	0
99.99475	0.0014530788	0.001352675	0.0012794195	0.0011587715	0
99.99476	0.0014532483	0.0013521935	0.0012793874	0.001159996	0
99.99476	0.0014529142	0.0013522018	0.0012807389	0.0011594465	0
99.99474	0.0014570765	0.0013558092	0.0012844768	0.0011631455	0
99.99473	0.0014606257	0.0013595761	0.0012899315	0.0011657368	0
99.994705	0.0014639074	0.0013637163	0.0012964249	0.0011672314	0
99.99468	0.0014702784	0.0013699268	0.0013048124	0.0011713583	0
99.99468	0.0014775593	0.0013641466	0.00129972	0.001174458	0
99.994675	0.0014815638	0.0013649456	0.0012992012	0.0011818713	0
99.99468	0.0014768668	0.0013649103	0.0012997286	0.0011751833	0
99.994675	0.001479423	0.0013670358	0.0013032822	0.0011781213	0
99.99467	0.0014789358	0.0013673094	0.0013045245	0.0011778328	0
99.99467	0.0014805344	0.0013684713	0.0013059548	0.0011798029	0
99.994644	0.0014855942	0.0013732894	0.0013105958	0.0011843627	0
99.994644	0.0014859295	0.001373263	0.0013108706	0.0011848859	0
99.99462	0.0014917187	0.0013777683	0.0013150909	0.0011907938	0
99.99462	0.0014931385	0.001378814	0.0013167078	0.0011916879	0
99.99459	0.0015005476	0.0013840623	0.0013218708	0.0012001873	0
99.99461	0.0014947148	0.0013806531	0.0013164048	0.0011943304	0
99.99461	0.0014944656	0.0013811104	0.0013163867	0.0011943355	0
99.9946	0.0014954313	0.0013870485	0.0013261272	0.0011955918	0
99.99459	0.0014970339	0.0013884039	0.0013267706	0.0011971181	0
99.99458	0.0014997489	0.0013910461	0.0013285162	0.0011996045	0
99.994576	0.001502508	0.0013936758	0.0013301519	0.0012022074	0
99.99458	0.0015020104	0.0013928933	0.0013266217	0.0012016053	0
99.99455	0.001509534	0.0014000974	0.0013368664	0.0012077647	0
99.99451	0.0015191674	0.0014085086	0.0013466523	0.0012160699	0
99.994484	0.0015277929	0.0014160118	0.0013531495	0.0012227899	0
99.994446	0.0015369914	0.0014234156	0.0013575979	0.0012320343	0
99.99443	0.0015401121	0.001427748	0.0013565035	0.0012333477	0
99.994415	0.0015459841	0.0014337806	0.0013591924	0.0012376959	0
99.99439	0.0015562542	0.001442929	0.0013654414	0.0012468052	0
99.99435	0.0015722893	0.0014574877	0.0013755762	0.0012598976	0
99.994255	0.0015957914	0.0014786291	0.0013905368	0.0012784196	0
99.994125	0.0016335666	0.0015118517	0.0014180645	0.0013081022	0
99.993935	0.001687465	0.0015583377	0.0014677598	0.0013509162	0
99.993774	0.0017301419	0.0015951616	0.0015057892	0.0013854993	0
99.99361	0.0017792698	0.0016393369	0.001552357	0.001421971	0
99.993416	0.0018349023	0.0016892555	0.0016012844	0.0014622794	0
99.99323	0.0018863813	0.0017343018	0.0016420957	0.0015003155	0
99.99301	0.0019513358	0.0017902361	0.0016918604	0.0015515666	0
99.992645	0.0020568073	0.0018832318	0.0017776729	0.0016326638	0
99.99188	0.002270108	0.0020786547	0.0019765121	0.0017927967	0
99.99037	0.0026979304	0.0024603172	0.0023627367	0.0021112813	0
99.988495	0.0032374116	0.0029232216	0.0028365855	0.0025029697	0
99.98616	0.003922296	0.0035044842	0.00341821	0.0029924496	0
99.98181	0.0052330573	0.004596812	0.0044570453	0.0039004094	0
99.96729	0.009805553	0.0082831215	0.0077562747	0.006857103	0
99.91457	0.026946645	0.021991417	0.019551449	0.01693176	0
99.28034	0.26610625	0.1882665	0.14324541	0.12204003	0
2.0017176	94.54382	1.9099262	0.7836125	0.76092273	1
1.8991026	95.17797	1.5205982	0.6704041	0.7319174	1
89.62232	4.390421	2.9926581	1.6530967	1.3415134	0
97.00333	0.9408194	1.0698227	0.5481428	0.43789074	0
2.6990407	93.27024	2.2081347	0.8670303	0.9555449	1
3.2897804	90.59363	3.7069492	1.1099879	1.299654	1
84.38703	6.5742135	4.8479123	2.1648932	2.0259557	0
99.855865	0.04181696	0.043285843	0.030550107	0.028481748	0
99.92247	0.023404192	0.021475814	0.01673239	0.015911628	0
99.706955	0.10539483	0.07412264	0.056047797	0.057478756	0
99.89141	0.034578364	0.029117877	0.023233905	0.021658244	0
99.65691	0.12419648	0.087612	0.06722214	0.06404682	0
68.06852	21.790318	4.6142483	2.6597862	2.8671267	0
9.889639	80.62519	5.4335227	2.018617	2.0330257	1
6.7603974	82.93606	6.6138306	1.8769667	1.8127501	1
4.441228	89.81777	3.271001	1.2077321	1.2622654	1
2.5135565	10.317965	82.80382	2.4426115	1.9220488	2
0.48948857	0.71397424	97.504814	0.94387543	0.34784648	2
0.18565206	0.32094684	99.1247	0.21752405	0.15117362	2
0.42363867	0.4760733	97.833	0.9507623	0.316527	2
0.20522228	0.23980355	99.02671	0.3718541	0.1564137	2
6.9772115	2.4550757	86.64245	2.5069528	1.4183123	2
0.37561104	0.81797254	97.98238	0.5185002	0.3055261	2
0.065286614	0.08792108	99.68472	0.10604953	0.056016568	2
0.045131046	0.05852018	99.79423	0.06430246	0.037824992	2
0.029906534	0.038783234	99.86285	0.041992906	0.02646998	2
0.037635114	0.049396906	99.81892	0.059353806	0.034702364	2
0.029396446	0.037198283	99.8628	0.043704197	0.02689483	2
0.035727236	0.043106407	99.8312	0.057274975	0.03269838	2
0.042034227	0.049187988	99.79945	0.07081908	0.038503677	2
0.042246968	0.051920157	99.7943	0.07171245	0.03983356	2
0.10133098	0.110878274	99.49448	0.20332319	0.08999399	2
0.07888953	0.091829084	99.599434	0.1558386	0.07401211	2
0.15163691	0.16545142	99.21187	0.33507013	0.13597028	2
0.18401116	0.19594137	99.03664	0.42190865	0.16149774	2
0.21088114	0.22686394	98.869095	0.5047231	0.18842797	2
0.3646919	0.3815367	97.932365	1.0007604	0.3206459	2
0.29737794	0.3183555	98.3378	0.77992016	0.2665505	2
0.38404605	0.39848232	97.822395	1.06017	0.3349095	2
0.45825633	0.4846389	97.30194	1.349884	0.40527973	2
0.5764845	0.6047206	96.49111	1.8225144	0.50517267	2
1.3689692	1.4010711	89.81252	6.2248087	1.1926306	2
0.8044781	0.8654217	94.58555	3.0035684	0.7409859	2
0.7724629	0.8062359	95.058624	2.6878219	0.67485535	2
1.3843164	1.4474866	89.61012	6.3332906	1.2247812	2
1.0807532	1.0863711	92.96081	3.982928	0.8891394	2
1.5439092	1.2494864	91.988464	4.243732	0.974409	2
0.2895771	0.28043175	98.94839	0.32069808	0.16090095	2
0.18269256	0.34452468	99.05632	0.25522524	0.16123891	2
0.1636063	0.24430959	99.0883	0.35042116	0.15336025	2
0.21933782	0.26595736	98.79923	0.51940554	0.19606252	2
1.4019896	1.4951826	89.19099	6.6614347	1.2504065	2
0.44526705	0.5149797	97.258446	1.3682715	0.41304114	2
0.55831814	0.46224728	1.7002559	96.794716	0.48447162	3
1.2677057	1.3642542	90.318985	5.87706	1.1720002	2
0.75015515	0.8399794	94.946	2.7621026	0.701767	2
1.1771704	1.04969	5.1111984	91.58215	1.0797879	3
1.1063981	1.2042459	91.83157	4.830801	1.0269858	2
0.2973379	0.24795428	0.78914326	98.402336	0.2632297	3
0.1805498	0.1496608	0.42557913	99.08411	0.16010572	3
0.4531445	0.4026378	1.3859037	97.347755	0.4105607	3
0.18977965	0.15840085	0.44671857	99.03629	0.16880187	3
0.09453505	0.07852731	0.19512981	99.54755	0.08426196	3
0.09946252	0.08243538	0.20804115	99.52135	0.08871596	3
0.8725838	0.8052854	3.4191604	94.08445	0.81852376	3
0.55761296	0.5058275	1.8229792	96.60128	0.5123016	3
0.078333765	0.06537911	0.15785289	99.62768	0.07075908	3
0.070546396	0.05875905	0.13935755	99.668106	0.0632317	3
0.09519616	0.07942254	0.19450292	99.54612	0.084754124	3
0.044298436	0.03767243	0.08180672	99.79582	0.04040066	3
0.03123438	0.026399232	0.054340083	99.85951	0.028519021	3
0.028167967	0.023725307	0.048122324	99.874344	0.025640463	3
0.02973754	0.025173044	0.051481348	99.86659	0.027016934	3
0.024008801	0.020191886	0.040080015	99.89391	0.021804692	3
0.024158515	0.020216089	0.040231794	99.893555	0.021834755	3
0.027086383	0.022541583	0.04567771	99.880325	0.02437133	3
0.032332186	0.026621886	0.055508316	99.85666	0.028882688	3
0.11795221	0.10417277	0.2636883	99.408516	0.10567272	3
0.028501488	0.023705376	0.04836525	99.87384	0.025591051	3
0.032648303	0.027326759	0.056776725	99.85402	0.029235037	3
0.027678892	0.02306905	0.04684999	99.87756	0.024841854	3
0.024951804	0.020650756	0.04137459	99.89064	0.02238554	3
0.027981034	0.023030648	0.04698105	99.87699	0.025020167	3
0.032807525	0.026707584	0.05594816	99.85537	0.02916355	3
0.0482412	0.038849812	0.086681716	99.78357	0.042653356	3
0.43674755	0.38866407	1.3146485	97.46374	0.3961998	3
0.16417767	0.13730124	0.3739155	99.17801	0.14659512	3
0.6193749	0.5608945	2.1463554	96.10575	0.56762725	3
1.0842589	1.0011662	4.6600995	92.24175	1.0127223	3
0.43411496	0.38504064	1.3182719	97.470345	0.39223236	3
0.21878353	0.18167946	0.5367319	98.863846	0.19895779	3
0.08716587	0.071767546	0.17561483	99.5883	0.07714351	3
0.094103746	0.076913565	0.19068146	99.55484	0.083462164	3
1.435048	1.3661422	7.304141	88.51835	1.3763236	3
0.10086669	0.08376337	0.2103993	99.51419	0.09078355	3
0.060353916	0.049887825	0.11387716	99.721535	0.05434387	3
0.05527307	0.045702886	0.10286842	99.74636	0.04979401	3
0.055489764	0.04544262	0.10286669	99.74636	0.049832184	3
0.07303035	0.05923751	0.14073908	99.66129	0.0656946	3
0.7010868	0.6247969	2.4618678	95.57188	0.64037424	3
0.22411637	0.1742552	0.4794448	98.92635	0.19583073	3
0.45942053	0.6742675	97.71573	0.5785266	0.5720568	2
0.27315846	0.30681294	98.436226	0.49739596	0.48640916	2
1.175973	1.1928751	92.62103	2.4055264	2.604588	2
0.39459673	0.43978542	98.536804	0.29971495	0.3290938	2
16.723013	11.539563	63.92269	3.5491302	4.2655993	2
1.7217566	4.1496344	90.97387	1.3131152	1.8416224	2
11.097811	12.084784	69.50811	3.004532	4.304759	2
0.24555978	0.3500139	98.855034	0.28721485	0.262177	2
0.18980941	0.20258825	99.108665	0.274622	0.2243157	2
0.41081482	0.656749	98.207405	0.3109775	0.41405576	2
85.75929	3.215418	6.998335	1.8530196	2.1739287	0
5.7525005	71.07928	16.858568	2.5354073	3.7742476	1
1.606675	2.3244455	93.31299	1.012161	1.7437315	2
0.22802594	0.29444888	98.87274	0.35324848	0.25152937	2
0.3691064	0.43144795	98.13949	0.4278325	0.63212144	2
3.432011	5.2220445	4.960398	1.6136503	84.77189	4
2.88314	3.300376	2.7589407	1.1568726	89.90067	4
6.991016	6.4451733	3.841465	1.8973311	80.825005	4
1.7461051	3.243928	1.7924007	0.83562535	92.381935	4
96.94862	0.9395576	0.70484185	0.44231483	0.9646657	0
15.229629	70.568886	5.1412253	2.366517	6.693743	1
12.928215	16.080076	5.5451517	2.8197837	62.626774	4
3.2369285	88.99231	3.5370119	1.1610432	3.0727072	1
5.7012515	9.039196	4.0189066	1.8838674	79.35678	4
97.60846	0.86345917	0.6378215	0.3545215	0.53573024	0
1.7019149	93.525826	2.4828598	0.72477615	1.5646268	1
85.432655	3.750293	6.8857656	1.8209038	2.1103847	0
4.921102	5.9323287	85.41076	1.7567698	1.9790477	2
0.19374993	0.25281075	99.200485	0.19861071	0.15434323	2
0.11714821	0.12521988	99.48647	0.17302392	0.09812636	2
0.13456607	0.14825903	99.37988	0.21466294	0.12262909	2
0.09537806	0.09654523	99.58184	0.13863452	0.08760689	2
84.73315	3.1233544	8.1004305	2.0525484	1.9905131	0
2.5414207	6.6266246	87.066864	1.7886924	1.9763952	2
1.5340033	3.687068	92.33673	1.0976195	1.3445765	2
99.76005	0.06186277	0.080619685	0.04973149	0.04773146	0
99.92969	0.0195936	0.020888925	0.014886733	0.014946276	0
99.92036	0.023620559	0.022767764	0.016589606	0.0166704	0
90.07025	4.255473	2.7499027	1.4188122	1.5055449	0
99.926285	0.021916637	0.020969175	0.015375758	0.015462813	0
99.904594	0.029987138	0.026330573	0.0195346	0.019548815	0
99.92889	0.019788135	0.021161495	0.0154423965	0.014727689	0
99.94354	0.015945837	0.016377814	0.012312317	0.011824973	0
99.90932	0.027142337	0.026220772	0.019167725	0.018164465	0
99.20059	0.29261526	0.22547112	0.14034261	0.1409829	0
15.116814	71.248375	8.052923	2.6486309	2.9332542	1
99.47353	0.14441456	0.18759555	0.10383744	0.09060973	0
87.20658	6.5107346	3.3150692	1.4062943	1.5613234	0
1.2431253	2.1453602	95.02068	0.92624575	0.66458356	2
0.10223319	0.12412222	99.57671	0.12490451	0.07203267	2
0.07406157	0.10727367	99.6771	0.07896468	0.06260655	2
0.030443802	0.038272645	99.86749	0.037612002	0.026179474	2
0.03303094	0.039066296	99.859	0.04083557	0.0280602	2
0.027124766	0.03268518	99.88089	0.03488251	0.024423212	2
0.025795702	0.032461558	99.88463	0.0326875	0.024422925	2
0.026029028	0.030941946	99.8859	0.034189783	0.022937408	2
0.038776487	0.046517685	99.82497	0.05524861	0.03448764	2
0.07034874	0.07556462	99.69489	0.10162482	0.057567842	2
10.406976	3.213787	81.23458	3.2304254	1.9142324	2
99.514565	0.11986863	0.17510533	0.10331298	0.087144695	0
99.650276	0.10431057	0.11163447	0.069703	0.06407874	0
11.434786	76.54862	7.3336205	2.2091649	2.4737966	1
5.1951833	86.282616	5.3416686	1.4491382	1.7313895	1
98.29272	0.44813567	0.6732299	0.3204333	0.26548395	0
18.858772	55.004704	19.059744	3.5401537	3.536621	1
83.53682	5.799573	6.938896	1.8509908	1.873716	0
1.7850488	2.683784	93.66072	1.0524093	0.8180351	2
0.071930364	0.08893485	99.71024	0.078169994	0.050718453	2
0.044126816	0.055345934	99.81657	0.048939332	0.035024922	2
0.042874474	0.049991407	99.81989	0.053512968	0.033721507	2
0.0455989	0.05113344	99.80917	0.057914503	0.036183264	2
6.570421	5.099989	73.63339	11.774674	2.9215238	2
0.4076369	0.62611467	98.250824	0.44754222	0.26788655	2
98.635376	0.3395448	0.52108085	0.27713424	0.22686636	0
0.8192638	1.2288257	96.72234	0.7938759	0.43569756	2
0.12734808	0.1768175	99.46705	0.1365913	0.092196584	2
0.062256318	0.074412584	99.74589	0.071292914	0.046145495	2
0.256801	0.19908246	99.16534	0.25317737	0.12560643	2
0.057145335	0.0670367	99.762985	0.06976155	0.043081995	2
0.039785933	0.050282523	99.826065	0.049884733	0.033984683	2
0.04856385	0.05413535	99.78596	0.07055726	0.040783565	2
0.03668424	0.049269125	99.83188	0.048495717	0.033671454	2
0.042946797	0.06077933	99.798546	0.05671773	0.0410129	2
0.15599003	0.16573721	99.23011	0.31327707	0.13488978	2
0.09310625	0.11048622	99.54601	0.1665495	0.08384265	2
0.059689187	0.08053397	99.712265	0.091300756	0.05620474	2
0.17292564	0.19983333	99.1105	0.36030263	0.15644856	2
0.07289357	0.097339615	99.640915	0.12028561	0.068569385	2
0.47848424	0.50084597	97.27048	1.3305267	0.41967267	2
1.0758426	1.0828348	92.901955	4.0087914	0.9305706	2
0.16200703	0.20176363	99.16413	0.32466155	0.14743726	2
0.790271	0.8202344	95.029816	2.6626513	0.6970248	2
0.68969905	0.7300331	95.7454	2.2164214	0.61844534	2
1.5301207	1.4927582	88.9108	6.7494445	1.3168777	2
0.23912962	0.27041534	98.73364	0.5418014	0.21500576	2
0.7161125	0.76646894	95.46954	2.3951087	0.6527663	2
2.999145	3.3500643	75.81153	15.174343	2.6649208	2
0.32193923	0.39027882	98.25681	0.7361391	0.29482487	2
0.60169286	0.7177234	96.281395	1.8311087	0.56809103	2
2.651065	2.6167116	75.32834	17.06556	2.3383245	2
0.39334786	0.52295166	97.75534	0.96608365	0.36228532	2
2.2045565	2.2613769	80.68114	12.852626	2.0003045	2
