sujeto	accuracy	F1_X_clase	f1_macro
sub-00001	0.8836565096952909	[0.92154066 0.4137931  0.89576174 0.88737201 0.89622642]	0.802938785904496
sub-00002	0.7699443413729128	[0.84460967 0.         0.61188811 0.78571429 0.77477477]	0.6033973675609363
sub-00003	0.8969465648854962	[0.97099237 0.58974359 0.8348135  0.94932432 0.79807692]	0.8285901405337903
sub-00004	0.4271978021978022	[0.4725537  0.         0.29775281 0.52545825 0.37267081]	0.33368711283973895
sub-00005	0.9104339796860572	[0.96491228 0.51764706 0.92555332 0.90816327 0.82125604]	0.8275063926796534
sub-00006	0.8744228993536473	[0.93527508 0.36206897 0.91035857 0.67307692 0.89506173]	0.7551682527264852
sub-00007	0.7962962962962963	[0.89298893 0.2        0.82713348 0.85714286 0.60944206]	0.6773414652660493
sub-00008	0.824634655532359	[0.84615385 0.         0.80845771 0.92888889 0.61538462]	0.6397770123740273
sub-00009	0.8211981566820277	[0.95934959 0.55319149 0.77197802 0.60115607 0.95454545]	0.7680441257490551
sub-00010	0.8984302862419206	[0.94929006 0.51851852 0.89429175 0.91139241 0.859375  ]	0.8265735478381215
sub-00011	0.3560794044665012	[0.58701299 0.         0.30215827 0.3255814  0.14689266]	0.27232906222207015
sub-00012	0.8836967808930426	[0.90935673 0.34782609 0.89942529 0.89808917 0.90797546]	0.7925345463112529
sub-00013	0.9087557603686636	[0.94799659 0.42857143 0.88851913 0.92473118 0.88571429]	0.8151065243594223
sub-00014	0.8774193548387097	[0.92395983 0.23404255 0.91750503 0.84675325]	0.7305651644898488
sub-00015	0.8997912317327766	[0.96103896 0.53061224 0.89589905 0.85964912 0.80821918]	0.811083712090778
sub-00016	0.8672811059907835	[0.92911011 0.52980132 0.88270859 0.88513514 0.83261803]	0.8118746352436194
sub-00017	0.9199157007376185	[0.94117647 0.35294118 0.93333333 0.76363636 0.95934959]	0.7900873875048912
sub-00018	0.8679593721144968	[0.97885835 0.13333333 0.85180863 0.18181818 0.77902622]	0.5849689436207631
sub-00019	0.9622119815668203	[0.99681021 0.         0.92337917 0.93006993 0.89473684]	0.7489992308728738
sub-00020	0.8603351955307262	[0.97384306 0.55555556 0.71157895 0.74366197 0.89583333]	0.7760945732876792
sub-00021	0.8403361344537815	[0.94960212 0.27027027 0.83758701 0.82802548 0.86877828]	0.750852631499347
sub-00022	0.7176141658900279	[0.8971368  0.16216216 0.63129973 0.48837209 0.55844156]	0.5474824691659836
sub-00023	0.6620021528525296	[0.86486486 0.         0.60545194 0.65243902 0.62210797]	0.548972759055818
sub-00024	0.8469827586206896	[0.9697733  0.31818182 0.77695167 0.4375     0.89204545]	0.6788904490675675
sub-00025	0.8778877887788779	[0.9504     0.52380952 0.89795918 0.84782609 0.83248731]	0.810496420816837
sub-00026	0.7588126159554731	[0.93701657 0.         0.51911469 0.75822604 0.        ]	0.4428714599820805
sub-00027	0.8338249754178958	[0.93883357 0.36065574 0.78219396 0.71794872 0.90577508]	0.7410814121437086
sub-00028	0.8526543878656555	[0.88481675 0.5        0.90352941 0.81437126 0.83180428]	0.7869043409044005
sub-00029	0.7042910447761194	[0.87346939 0.         0.67857143 0.57230769 0.56179775]	0.5372292522886424
sub-00030	0.9142857142857143	[0.98049194 0.16       0.7867036  0.8907563  0.89516129]	0.7426226272551251
