sujeto	accuracy	F1_X_clase	f1_macro
sub-001	0.9697999244998112	[0.99550898 0.61363636 0.89453125 0.91284404 0.93700787]	0.8707057012770575
sub-002	0.9579356663131848	[0.99337046 0.45454545 0.90306122 0.92932862 0.8908686 ]	0.8342348713179181
sub-003	0.9546590503391645	[0.9877464  0.63157895 0.92307692 0.83665339 0.93948127]	0.8637073857493925
sub-004	0.9466479466479466	[0.99262497 0.61728395 0.91437803 0.72796935 0.89893617]	0.8302384928849074
sub-005	0.9090260435247949	[0.98501292 0.45528455 0.79463364 0.55621302 0.88235294]	0.7346994149201952
sub-006	0.9078039927404719	[0.99230973 0.23076923 0.75086906 0.7444795  0.93447293]	0.7305800908181023
sub-007	0.9375665129478539	[0.997263   0.57777778 0.81722934 0.46721311 0.96244131]	0.7643849088540078
sub-008	0.965946539729037	[0.99491094 0.58974359 0.90066225 0.88888889 0.93430657]	0.8617024482214001
sub-009	0.9334371350720124	[0.97865459 0.61111111 0.93823038 0.73684211 0.87119438]	0.827206514447085
sub-010	0.9326406305983519	[0.98278734 0.42512077 0.91196835 0.79090909 0.88929889]	0.8000168890762944
sub-011	0.9746416758544653	[0.99667921 0.66666667 0.8626506  0.8807947  0.95588235]	0.8725347071741039
sub-012	0.948663101604278	[0.99018783 0.62068966 0.92449664 0.85714286 0.85644769]	0.8497929356175723
sub-013	0.9732755507403394	[0.98914878 0.62       0.95477387 0.95683453 0.92165899]	0.8884832340296359
sub-014	0.9222340049487452	[0.96681981 0.59722222 0.89916963 0.86779661 0.72052402]	0.8103064576296324
sub-015	0.9633321466714133	[0.99038462 0.515625   0.92269939 0.91017964 0.96658098]	0.8610939238939999
sub-016	0.958107620079451	[0.99166232 0.31775701 0.93519695 0.93617021 0.87206266]	0.8105698319738014
sub-017	0.9391771019677997	[0.986315   0.42222222 0.79932546 0.8861912  0.82969432]	0.7847496423256628
sub-018	0.9483478921382453	[0.99307958 0.56716418 0.8290469  0.89279438 0.91017964]	0.8384529358669944
sub-019	0.9388502380080557	[0.99345289 0.6        0.85792851 0.87818697 0.7956044 ]	0.8250345519338381
sub-020	0.936646832341617	[0.98896479 0.34375    0.87512291 0.79553903 0.89068826]	0.7788129991041405
sub-021	0.924236851783744	[0.98711485 0.62686567 0.85117057 0.09756098 0.93493976]	0.6995303641575881
sub-022	0.9166958347917395	[0.98654244 0.54117647 0.82568807 0.26041667 0.96482412]	0.7157295548633188
sub-023	0.9443392654297614	[0.9964741  0.55172414 0.8441989  0.74164134 0.87349398]	0.8015064888862191
sub-024	0.9507016912558475	[0.99714829 0.5        0.82369535 0.63636364 0.96393443]	0.7842283394247302
sub-025	0.8901256732495512	[0.96529459 0.21686747 0.80477223 0.71621622 0.72101449]	0.6848330011071825
sub-026	0.9147792706333974	[0.99108547 0.22929936 0.69085174 0.70535714 0.92913386]	0.7091455147530681
sub-027	0.9512975471027373	[0.993843   0.62608696 0.86995516 0.8189415  0.9281768 ]	0.847400681927842
sub-028	0.9727767695099818	[0.99273105 0.50793651 0.93528694 0.93203883 0.96359743]	0.8663181514775135
sub-029	0.9747565813198702	[0.99473816 0.51724138 0.93196406 0.94736842 0.9468599 ]	0.8676343842178456
sub-030	0.9434898816342115	[0.99401198 0.37681159 0.80739599 0.80090498 0.95544554]	0.7869140172034992
