W	N1	N2	N3	R	anotaciones
99.993065	0.0018638299	0.0017543256	0.0016234958	0.0016961396	0
99.99474	0.0014075729	0.0013436468	0.0012680993	0.0012378045	0
99.99488	0.0013802169	0.0013163766	0.0012374542	0.001186508	0
99.995026	0.0013489008	0.0012787502	0.001204812	0.0011423812	0
99.99511	0.0013355548	0.0012518668	0.0011770546	0.0011211424	0
99.99508	0.0013531423	0.0012609797	0.0011810107	0.001123455	0
99.99495	0.001399577	0.0012911202	0.0011987983	0.0011549256	0
99.9949	0.0014072569	0.0013384271	0.0012115198	0.0011397515	0
99.99491	0.0014057986	0.0013347042	0.0012175081	0.0011372415	0
99.994865	0.0014162917	0.0013419202	0.0012272367	0.0011438858	0
99.994865	0.0014199378	0.0013428202	0.0012321887	0.0011439911	0
99.99486	0.0014238486	0.0013430946	0.0012367327	0.0011441361	0
99.99483	0.0014319915	0.0013491075	0.0012484525	0.0011472013	0
99.99473	0.001466035	0.0013771511	0.0012754024	0.0011663313	0
99.99475	0.0014455447	0.0013653644	0.0012731153	0.0011560277	0
99.99471	0.0014589222	0.0013761548	0.0012830114	0.0011629673	0
99.9947	0.0014652006	0.0013832473	0.0012903766	0.0011668316	0
99.994736	0.0014527348	0.0013720145	0.0012791147	0.0011584131	0
99.994675	0.0014725828	0.0013908216	0.0012945809	0.0011692338	0
99.99474	0.0014534642	0.0013725616	0.0012754393	0.0011586639	0
99.994774	0.0014448108	0.0013627027	0.0012650347	0.0011531019	0
99.99478	0.0014440562	0.001360955	0.0012634832	0.0011523522	0
99.99479	0.0014410322	0.0013560631	0.0012572092	0.0011505294	0
99.99481	0.0014383715	0.0013500034	0.0012514615	0.0011486377	0
99.99481	0.0014384105	0.0013479567	0.0012481017	0.001148484	0
99.99483	0.0014367418	0.001344304	0.0012441766	0.0011465169	0
99.99483	0.0014394637	0.0013447012	0.0012431062	0.00114723	0
99.99472	0.0014785916	0.0013736793	0.0012540712	0.0011728308	0
99.99483	0.0014386778	0.00134462	0.0012448936	0.0011478328	0
99.994835	0.0014344482	0.0013402611	0.0012428501	0.0011447476	0
99.99483	0.0014361041	0.00134081	0.0012434477	0.001145063	0
99.994835	0.0014392723	0.00134066	0.0012427642	0.0011466433	0
99.99461	0.0015179494	0.0014024023	0.0012730312	0.0011990891	0
99.99479	0.0014456023	0.0013510411	0.0012512533	0.0011529097	0
99.99481	0.0014414756	0.0013489288	0.0012523946	0.0011499134	0
99.99482	0.001439891	0.0013473735	0.001252314	0.0011487877	0
99.99481	0.0014410495	0.0013493156	0.0012541254	0.001148251	0
99.99464	0.001497625	0.0014031722	0.0012894953	0.0011794649	0
99.99477	0.0014497744	0.0013578468	0.0012655178	0.001156875	0
99.9948	0.0014433824	0.0013491767	0.001260407	0.0011532615	0
99.99479	0.0014459738	0.001351066	0.0012646617	0.0011551377	0
99.99479	0.0014446046	0.0013489278	0.0012645995	0.0011552718	0
99.99478	0.001447384	0.0013515785	0.0012677531	0.0011565546	0
99.994774	0.0014521052	0.0013547923	0.0012692013	0.0011611921	0
99.99478	0.0014484647	0.0013509614	0.0012654206	0.0011572213	0
99.99478	0.0014488001	0.0013534543	0.0012680216	0.0011572789	0
99.99475	0.001454275	0.0013583096	0.0012735786	0.0011615672	0
99.99474	0.0014579588	0.0013601041	0.0012734928	0.0011656049	0
99.99476	0.0014531257	0.0013564466	0.0012721948	0.0011616834	0
99.99476	0.001450773	0.0013560958	0.001272561	0.0011604533	0
99.99476	0.0014499992	0.0013563351	0.0012745509	0.0011602895	0
99.99476	0.0014511268	0.001357454	0.0012759848	0.0011613285	0
99.99476	0.0014496578	0.0013563457	0.0012754883	0.0011602404	0
99.99476	0.0014503282	0.0013580843	0.0012779133	0.0011608974	0
99.99475	0.0014528767	0.0013604712	0.0012802063	0.0011632373	0
99.99474	0.0014525611	0.0013609884	0.0012812522	0.0011626262	0
99.99473	0.0014549695	0.0013642531	0.0012838973	0.0011636605	0
99.99473	0.0014549899	0.0013639864	0.0012835583	0.0011640933	0
99.994736	0.0014549213	0.0013635525	0.0012842902	0.0011643934	0
99.99473	0.0014569525	0.001364669	0.0012846637	0.001165952	0
99.994736	0.0014558322	0.0013630897	0.0012833457	0.001164853	0
99.99473	0.0014589353	0.0013653195	0.0012852598	0.0011665239	0
99.99472	0.0014645515	0.0013683346	0.0012861345	0.0011704589	0
99.99472	0.0014640564	0.0013680944	0.0012876501	0.0011710209	0
99.99471	0.0014630838	0.0013687644	0.0012894757	0.0011707479	0
99.9947	0.0014652302	0.0013710373	0.0012933034	0.0011730161	0
99.9947	0.0014669648	0.0013715888	0.001295089	0.0011745326	0
99.9947	0.001468589	0.0013729156	0.0012953262	0.0011756755	0
99.9947	0.0014672421	0.0013715134	0.0012944199	0.0011744197	0
99.9947	0.0014692658	0.0013720406	0.0012946952	0.0011760207	0
99.994675	0.0014726652	0.0013739023	0.0012959737	0.0011780382	0
99.99468	0.0014714932	0.0013724386	0.0012950345	0.0011775265	0
99.994675	0.0014748054	0.0013750979	0.0012961309	0.0011793083	0
99.994675	0.0014725344	0.0013744229	0.0012961135	0.001177745	0
99.99469	0.0014702574	0.0013736248	0.0012966	0.0011764629	0
99.99469	0.0014697439	0.0013740956	0.0012974305	0.0011762419	0
99.99469	0.0014694934	0.0013742562	0.0012977473	0.0011763396	0
99.99469	0.0014693575	0.0013751175	0.0012982719	0.0011751427	0
99.99468	0.0014704713	0.0013759	0.0012999909	0.0011768844	0
99.994675	0.0014705552	0.0013776936	0.0013038851	0.001177251	0
99.994644	0.0014754365	0.0013827734	0.0013104219	0.0011809979	0
99.994644	0.0014810591	0.0013857553	0.0013126687	0.0011844304	0
