sujeto	accuracy	F1_X_clase	f1_macro
sub-001	0.7734994337485843	[0.87150231 0.30952381 0.69463087 0.79625293 0.1971831 ]	0.5738186034308339
sub-002	0.8423471191233651	[0.91652373 0.34594595 0.81132075 0.92724196 0.48507463]	0.6972214036296076
sub-003	0.6679757229560871	[0.74148297 0.48905109 0.68219384 0.70629371 0.38772664]	0.6013496490214755
sub-004	0.7174447174447175	[0.80897436 0.30973451 0.74062969 0.78813559 0.40920716]	0.6113362623503551
sub-005	0.7952194077773814	[0.90523969 0.27467811 0.7805383  0.59868421 0.40776699]	0.5933814605062754
sub-006	0.7720508166969147	[0.87434249 0.37820513 0.7427241  0.75172414 0.45933014]	0.6412651994474043
sub-007	0.8655551614047534	[0.94077922 0.49275362 0.84041332 0.50704225 0.61837456]	0.6798725947635796
sub-008	0.8202123764188942	[0.91499729 0.38709677 0.67053701 0.64721485 0.58784893]	0.6415389728097085
sub-009	0.8053717399766446	[0.89756766 0.4358209  0.84238646 0.71641791 0.52631579]	0.683701744085556
sub-010	0.7506270154066643	[0.84915515 0.27777778 0.73189824 0.80188679 0.54356307]	0.6408562047656355
sub-011	0.7074604924660052	[0.82857877 0.34188034 0.51529791 0.61176471 0.12262156]	0.4840286580742017
sub-012	0.8709447415329769	[0.92677071 0.45933014 0.9124498  0.86381323 0.60670194]	0.7538131641256056
sub-013	0.9154929577464789	[0.96256943 0.5        0.88308458 0.60194175 0.7250996 ]	0.7345390707910687
sub-014	0.8370448921880523	[0.91112294 0.40201005 0.86903305 0.91489362 0.43853821]	0.7071195717442109
sub-015	0.8430046279814881	[0.91261606 0.38596491 0.75669882 0.87777778 0.62195122]	0.7110017574755482
sub-016	0.9227157818707115	[0.96971307 0.31111111 0.89086294 0.94356659 0.73039216]	0.7691291749518528
sub-017	0.7874776386404293	[0.87016195 0.26153846 0.6953405  0.86201991 0.36690647]	0.6111934614470746
sub-018	0.8420053171287505	[0.91597139 0.32911392 0.7400319  0.73142857 0.71575847]	0.6864608512517819
sub-019	0.8777004760161113	[0.9563945  0.28985507 0.80468047 0.82122905 0.62721893]	0.6998756047597784
sub-020	0.8981449072453622	[0.97423764 0.28085106 0.87227414 0.79377432 0.69450549]	0.7231285330576516
sub-021	0.697682971680765	[0.80157171 0.23655914 0.6330731  0.11009174 0.58529412]	0.47331796225509637
sub-022	0.6933846692334616	[0.79595588 0.33488372 0.59366391 0.27472527 0.63227953]	0.526301664792799
sub-023	0.8212798182506627	[0.92637681 0.12345679 0.66464032 0.69879518 0.58640777]	0.599935374729127
sub-024	0.9017632241813602	[0.97052375 0.12631579 0.77202073 0.70731707 0.72352941]	0.6599413502640513
sub-025	0.8567324955116696	[0.93873025 0.18181818 0.80350195 0.83739837 0.60934579]	0.6741589084924364
sub-026	0.692130518234165	[0.81192379 0.25714286 0.55948553 0.68627451 0.40722496]	0.5444103285103806
sub-027	0.9111269107714184	[0.97724922 0.40718563 0.77726218 0.81976744 0.84675325]	0.7656435445472165
sub-028	0.9128856624319419	[0.96613284 0.36538462 0.86165049 0.8590604  0.72842105]	0.7561298798807201
sub-029	0.8874864767399928	[0.94587039 0.20618557 0.85920578 0.68907563 0.67865169]	0.6757978105459688
sub-030	0.8896525391370752	[0.94742857 0.46031746 0.86902928 0.85574572 0.67148014]	0.7608002346461389
