W	N1	N2	N3	R	anotacion
99.98113	0.005506069	0.0047964454	0.00402299	0.0045421654	0
99.98278	0.0050614504	0.0044260747	0.003762307	0.0039759753	0
99.98156	0.005534308	0.004676938	0.003975376	0.004262804	0
99.97695	0.007064365	0.0058069127	0.0049165944	0.0052657793	0
99.96762	0.009890098	0.008380594	0.0069773537	0.0071280207	0
99.96896	0.009731993	0.0077832295	0.0065807095	0.0069508445	0
99.93714	0.020191716	0.016209707	0.0131206745	0.0133346375	0
99.923935	0.02575315	0.018520545	0.015508525	0.016278703	0
99.11267	0.3671923	0.20949419	0.1494162	0.16123176	0
98.87036	0.4745745	0.26937622	0.18681055	0.19887593	0
2.2582815	94.04683	2.1108067	0.7711073	0.8129739	1
0.69666326	98.035805	0.6584886	0.2968808	0.3121599	1
0.5191385	98.42448	0.5548341	0.24384934	0.2576982	1
0.7620249	97.592705	0.897594	0.3442288	0.4034413	1
0.9015888	96.96817	1.1950872	0.40867335	0.52648133	1
0.70378876	1.6114894	96.14739	0.94337344	0.5939496	2
71.59615	10.317007	12.28036	3.057441	2.7490373	0
99.92412	0.02271946	0.0219456	0.01634025	0.014874588	0
99.958565	0.01261077	0.0111300545	0.009233719	0.008472575	0
99.95783	0.013178897	0.011057202	0.009152467	0.008774893	0
99.96362	0.011151185	0.009600287	0.008055989	0.0075689806	0
99.96598	0.010343004	0.00899246	0.007614224	0.007079904	0
99.96748	0.009744899	0.00862355	0.007441624	0.006706345	0
99.97479	0.0075581665	0.0066540036	0.0056374623	0.0053590676	0
99.97437	0.0077180457	0.0067141945	0.0057269754	0.005477621	0
99.97228	0.008403266	0.007223153	0.0061780172	0.0059116855	0
99.96834	0.009708295	0.008194213	0.0070431763	0.00670769	0
99.961235	0.012000489	0.009997262	0.008543168	0.00822778	0
99.96435	0.010713264	0.009345852	0.008109768	0.0074924463	0
99.961235	0.011702487	0.0101460125	0.008842972	0.008085692	0
99.957375	0.0129170865	0.011141078	0.009754867	0.008817692	0
99.94707	0.016328864	0.013741688	0.012042613	0.010815042	0
99.928894	0.02246541	0.01834607	0.015980273	0.014309927	0
99.89514	0.033951346	0.027073806	0.02333632	0.020493545	0
99.76097	0.08414141	0.06053449	0.04964083	0.044701148	0
2.4400153	94.46944	1.5945411	0.7814061	0.71460277	1
2.2416408	94.167564	2.0020788	0.79401404	0.79469925	1
84.28624	8.613867	3.5626962	1.8226521	1.7145423	0
99.87947	0.039159477	0.032193676	0.025766104	0.023419619	0
99.81903	0.062059198	0.04642629	0.0385297	0.033954695	0
1.2991043	96.76245	1.0055407	0.46913204	0.46376446	1
1.1386642	96.400795	1.4269831	0.52870554	0.5048582	1
1.5359199	94.283646	2.5773063	0.7926765	0.8104531	1
0.30334598	0.73461014	98.13258	0.5509321	0.27852514	2
0.17276809	0.37144056	98.927155	0.35751694	0.17112212	2
0.14088608	0.29587495	99.10991	0.3055455	0.14778884	2
0.12502776	0.22371817	99.234116	0.28798893	0.1291531	2
0.46336508	1.0757952	97.0176	0.9610653	0.48217407	2
0.41218293	0.7385248	97.35397	1.0878308	0.40748805	2
0.2745325	0.405539	98.469	0.6077004	0.24321912	2
99.44961	0.17289746	0.17403062	0.11289584	0.09056378	0
2.2796252	91.2741	3.9483006	1.1116139	1.386354	1
1.720353	7.0149674	86.92888	2.6238496	1.7119507	2
0.34184295	0.80509746	97.891464	0.6523354	0.3092617	2
89.59474	4.8766203	2.962597	1.3600037	1.2060343	0
1.2717943	94.523056	2.2854383	0.75960386	1.1601063	1
0.27171713	0.5802983	98.3886	0.52240896	0.23697719	2
0.14861667	0.27072456	99.1348	0.3054848	0.14037137	2
0.1091833	0.18705413	99.37639	0.22252244	0.10484709	2
0.1070914	0.15296578	99.42623	0.217813	0.095893346	2
0.19893229	0.25919595	99.11937	0.28648046	0.13601516	2
0.074436024	0.123662665	99.61279	0.12513417	0.0639665	2
0.23956597	0.5405619	98.641945	0.3557331	0.2222029	2
0.07652117	0.13661055	99.60017	0.11633234	0.07037649	2
0.0682597	0.121634975	99.64454	0.102244586	0.06332253	2
0.064270325	0.108993836	99.65351	0.10990144	0.06331598	2
0.17589994	0.39745712	98.954636	0.2911009	0.18090335	2
0.053899594	0.078333296	99.71801	0.097463295	0.052286584	2
0.057363983	0.083772816	99.697365	0.10539854	0.05610517	2
0.069921546	0.1084396	99.619286	0.13186866	0.0704799	2
0.088575326	0.12616041	99.51789	0.18036608	0.0870099	2
0.21214287	0.28769234	98.783295	0.5136837	0.20317903	2
0.6374512	0.7576153	96.01377	2.0134492	0.5777139	2
0.48383597	0.6134826	97.04896	1.4016767	0.45204914	2
1.9788865	2.214858	86.062996	8.086761	1.6564989	2
99.54007	0.11861877	0.15286995	0.11400252	0.07443257	0
83.90316	7.0351043	5.2087636	2.202355	1.6506249	0
99.19867	0.294745	0.21828979	0.15940772	0.12888262	0
1.4251515	94.4172	2.5587008	0.8262555	0.77269006	1
0.6453694	1.7980525	95.75428	1.2238737	0.57842314	2
0.42927334	1.1141839	97.24029	0.8232814	0.3929739	2
0.4379727	0.78300947	97.232086	1.1581249	0.38880745	2
0.3906002	0.6594371	97.55595	1.0175569	0.37646458	2
0.54301655	0.91384137	96.35223	1.6465498	0.54437333	2
0.7161304	0.6474458	2.514191	95.49542	0.6268083	3
0.8621446	0.82857513	3.3104506	94.21359	0.7852359	3
0.39024198	0.36125225	1.1353604	97.76326	0.34988737	3
0.101308584	0.08991096	0.21243712	99.50568	0.09066706	3
0.11000085	0.098341994	0.2370095	99.45565	0.0989974	3
0.060436293	0.053423475	0.116340645	99.71455	0.05524977	3
0.053667165	0.047144648	0.10107523	99.74901	0.049100276	3
0.054345164	0.048207343	0.10338001	99.74438	0.049690034	3
0.04227888	0.036991507	0.0766141	99.80525	0.038864482	3
0.038774785	0.033855617	0.06937543	99.82233	0.035665695	3
0.035429653	0.03085746	0.062487546	99.83865	0.03257029	3
0.03322173	0.02890976	0.058067303	99.84925	0.030543763	3
0.031060696	0.026995368	0.053722337	99.85968	0.028548326	3
0.029036993	0.025175309	0.049747173	99.869606	0.02643895	3
0.027287172	0.023634117	0.046301913	99.87799	0.024789594	3
0.025760347	0.022284776	0.043298583	99.885315	0.023341889	3
0.024612311	0.021261273	0.04103292	99.89086	0.022229303	3
0.02392066	0.020647008	0.039685927	99.89419	0.021554826	3
0.023318797	0.020088166	0.03847018	99.897194	0.020928243	3
0.023267003	0.020006148	0.038324192	99.89759	0.02081165	3
0.023623414	0.020241467	0.03889246	99.896225	0.021021333	3
0.02491423	0.0212207	0.041142467	99.89072	0.022007901	3
0.026200335	0.022385707	0.043656316	99.88413	0.023625527	3
0.029156933	0.02491438	0.049209442	99.87063	0.026090533	3
0.04651202	0.037977107	0.078039475	99.79912	0.038360987	3
0.08834901	0.07739529	0.18051833	99.57654	0.077196464	3
0.075599775	0.065229185	0.14808331	99.645226	0.065862045	3
0.124125116	0.11020213	0.2698893	99.38622	0.109561846	3
0.069423236	0.061282948	0.13591753	99.67083	0.06255128	3
0.035282403	0.030697133	0.061689325	99.84037	0.03196299	3
0.033117	0.028663956	0.057197344	99.851105	0.02992204	3
0.03343813	0.028762428	0.057528123	99.85029	0.029985039	3
0.037004564	0.03115138	0.06326211	99.83604	0.032547846	3
0.05423486	0.044920262	0.095222205	99.75971	0.04591326	3
0.902718	0.59342396	1.7514495	96.25849	0.49392018	3
1.0553106	2.2521255	93.53817	2.3164265	0.8379653	2
0.7962717	0.76353127	2.985205	94.71129	0.7437065	3
1.0578827	1.58451	92.10441	4.214651	1.0385499	2
0.14278999	0.12423837	0.31848934	99.28743	0.1270436	3
0.3410989	0.31432232	0.9612274	98.067	0.3163484	3
0.0669664	0.058808602	0.12950118	99.68402	0.06070909	3
0.05067492	0.04417193	0.093088366	99.7659	0.046161853	3
0.044830315	0.038683992	0.08055086	99.794815	0.041114297	3
0.040774267	0.035051584	0.07210579	99.814705	0.037360493	3
0.038822934	0.033277616	0.068109795	99.82428	0.03551172	3
0.03716993	0.031714384	0.06456815	99.832695	0.033848524	3
